"id","exists"
1158,TRUE
107,TRUE
1297,TRUE
4087,TRUE
1128,TRUE
3460,TRUE
3849,TRUE
315,TRUE
3664,TRUE
2486,TRUE
137,TRUE
3353,TRUE
3089,TRUE
1324,TRUE
1830,TRUE
639,TRUE
833,TRUE
458,TRUE
1162,TRUE
3220,TRUE
2884,TRUE
1433,TRUE
2694,TRUE
498,TRUE
2206,TRUE
2602,TRUE
242,TRUE
463,TRUE
3690,TRUE
145,TRUE
2257,TRUE
788,TRUE
488,TRUE
977,TRUE
1156,TRUE
746,TRUE
1349,TRUE
4079,TRUE
3120,TRUE
3700,TRUE
1130,TRUE
2077,TRUE
276,TRUE
1711,TRUE
1253,TRUE
3792,TRUE
890,TRUE
2292,TRUE
4108,TRUE
463,TRUE
1756,TRUE
2418,TRUE
702,TRUE
1572,TRUE
3714,TRUE
3742,TRUE
1808,TRUE
2141,TRUE
3001,TRUE
2912,TRUE
976,TRUE
1509,TRUE
1844,TRUE
1864,TRUE
868,TRUE
1104,TRUE
2049,TRUE
2237,TRUE
1558,TRUE
459,TRUE
195,TRUE
2008,TRUE
3214,TRUE
3122,TRUE
2711,TRUE
2478,TRUE
630,TRUE
1498,TRUE
2888,TRUE
906,TRUE
261,TRUE
2912,TRUE
3418,TRUE
2835,TRUE
3439,FALSE
3752,TRUE
2610,TRUE
2616,TRUE
1998,TRUE
3213,TRUE
1582,TRUE
656,TRUE
2648,TRUE
2710,TRUE
3400,TRUE
3148,TRUE
347,TRUE
681,TRUE
2518,TRUE
1221,TRUE
