"id","exists"
304,TRUE
703,TRUE
3955,TRUE
1615,TRUE
2711,TRUE
1776,TRUE
2221,TRUE
3121,TRUE
1840,TRUE
2185,TRUE
3405,TRUE
194,TRUE
2014,TRUE
2239,TRUE
3405,TRUE
470,TRUE
3135,TRUE
1886,TRUE
115,TRUE
287,TRUE
2697,TRUE
1438,TRUE
3458,TRUE
3001,TRUE
1983,TRUE
2966,FALSE
4070,TRUE
3556,TRUE
3515,TRUE
2999,TRUE
3197,TRUE
1148,TRUE
2624,TRUE
1028,TRUE
760,TRUE
133,TRUE
2383,TRUE
2823,TRUE
1171,TRUE
3527,TRUE
1899,TRUE
1923,TRUE
147,TRUE
3109,TRUE
3824,TRUE
3317,TRUE
953,TRUE
1929,TRUE
543,TRUE
1759,TRUE
2275,TRUE
2893,TRUE
1238,TRUE
3245,FALSE
3116,TRUE
1398,TRUE
2092,TRUE
1858,TRUE
3493,TRUE
1432,FALSE
1348,TRUE
2834,TRUE
1231,TRUE
4139,TRUE
6,TRUE
301,TRUE
1261,TRUE
998,TRUE
1198,TRUE
3911,TRUE
303,TRUE
1443,TRUE
3934,TRUE
3491,TRUE
2365,TRUE
4043,TRUE
1812,TRUE
2048,TRUE
1294,TRUE
3321,TRUE
2600,TRUE
2644,TRUE
2628,TRUE
2097,TRUE
2364,TRUE
1553,TRUE
2111,TRUE
2120,TRUE
316,TRUE
2458,TRUE
3252,TRUE
1594,TRUE
1993,TRUE
276,TRUE
1697,TRUE
920,TRUE
1201,TRUE
3644,TRUE
1621,TRUE
3446,TRUE
