"w1","w2","count"
"something","that",3
"stronger","than",3
"support","of",3
"talk","about",3
"telling","the",3
"than","ever",3
"that","as",3
"that","was",3
"that","when",3
"the","crime",3
"the","last",3
"the","number",3
"the","vast",3
"the","wall",3
"the","white",3
"their","children",3
"their","lives",3
"them","a",3
"these","people",3
"they","always",3
"they","should",3
"they","used",3
"they","wouldnt",3
"thing","to",3
"think","and",3
"think","of",3
"time","in",3
"to","begin",3
"to","help",3
"to","turn",3
"up","and",3
"up","in",3
"up","the",3
"used","it",3
"we","had",3
"we","speak",3
"well","and",3
"well","you",3
"were","getting",3
"what","the",3
"what","would",3
"who","could",3
"will","do",3
"will","fight",3
"with","all",3
"work","but",3
"would","take",3
"wouldnt","be",3
"yes","we",3
"you","if",3
"you","need",3
"a","bad",2
"a","century",2
"a","fraction",2
"a","government",2
"a","million",2
"a","one",2
"about","a",2
"above","all",2
"after","that",2
"again","and",2
"ago","the",2
"all","sorts",2
"alone","will",2
"america","the",2
"americans","were",2
"and","certainly",2
"and","create",2
"and","political",2
"and","sometimes",2
"and","those",2
"and","who",2
"are","doing",2
"are","they",2
"at","this",2
"attitude","of",2
"be","as",2
"be","free",2
"be","telling",2
"because","its",2
"become","a",2
"big","business",2
"break","the",2
"bring","back",2
"business","owners",2
"but","all",2
"but","come",2
"by","and",2
"by","far",2
"call","it",2
"came","into",2
"certainly","it",2
"child","is",2
"choose","the",2
"cities","were",2
"communities","have",2
"considered","a",2
"countries","that",2
"country","in",2
"country","we",2
"day","and",2
"demands","will",2
"democracy","and",2
"didnt","know",2
"didnt","want",2
"direction","it",2
"do","these",2
"doesnt","have",2
"doesnt","work",2
"doing","it",2
"done","in",2
"dont","need",2
"dont","really",2
"down","from",2
"down","the",2
"down","to",2
"energy","in",2
"even","a",2
"every","day",2
"failures","of",2
"family","and",2
"first","time",2
"for","itself",2
"for","those",2
"fraction","of",2
"free","they",2
"freedom","to",2
"friend","or",2
"friends","but",2
"fun","to",2
"get","through",2
"give","me",2
"had","the",2
"have","created",2
"have","it",2
"him","and",2
"him","the",2
"how","many",2
"imagine","what",2
"in","cuba",2
"in","terms",2
"is","they",2
"is","we",2
"it","a",2
"it","anyway",2
"it","doesnt",2
"it","just",2
"it","since",2
"it","very",2
"it","when",2
"itself","and",2
"just","a",2
"just","go",2
"just","the",2
"less","and",2
"long","before",2
"manipulation","and",2
"more","dangerous",2
"more","fun",2
"more","money",2
"much","for",2
"nafta","and",2
"never","been",2
"never","had",2
"not","more",2
"now","they",2
"of","business",2
"of","him",2
"of","time",2
"on","advertising",2
"on","earth",2
"on","for",2
"on","our",2
"one","so",2
"one","way",2
"opportunity","for",2
"our","story",2
"our","way",2
"out","and",2
"out","the",2
"out","to",2
"people","like",2
"people","so",2
"politicians","and",2
"probably","not",2
"put","it",2
"putting","in",2
"reach","of",2
"reason","is",2
"recently","in",2
"regulations","will",2
"religious","and",2
"remember","that",2
"restrictions","on",2
"said","to",2
"simple","and",2
"so","to",2
"sorts","of",2
"states","for",2
"suffering","and",2
"support","the",2
"sure","that",2
"take","it",2
"talking","about",2
"terms","of",2
"that","kind",2
"that","means",2
"that","right",2
"that","says",2
"the","african",2
"the","beginning",2
"the","big",2
"the","constitution",2
"the","demands",2
"the","disaster",2
"the","enthusiasm",2
"the","job",2
"the","policies",2
"the","reach",2
"the","restrictions",2
"the","security",2
"the","top",2
"the","traffic",2
"the","water",2
"the","words",2
"their","families",2
"them","one",2
"them","we",2
"there","to",2
"they","really",2
"they","use",2
"thing","that",2
"things","the",2
"this","one",2
"times","has",2
"to","ask",2
"to","compete",2
"to","expand",2
"to","fight",2
"to","lower",2
"to","new",2
"to","re",2
"to","rebuild",2
"two","cases",2
"unless","you",2
"up","with",2
"us","all",2
"us","so",2
"very","long",2
"wall","street",2
"was","small",2
"was","to",2
"water","and",2
"way","and",2
"way","is",2
"way","we",2
"we","now",2
"well","be",2
"well","in",2
"what","i",2
"which","will",2
"who","in",2
"who","support",2
"will","get",2
"will","help",2
"win","the",2
"with","great",2
"with","other",2
"with","these",2
"with","words",2
"work","every",2
"worse","the",2
"years","after",2
"you","it",2
"you","would",2
"your","children",2
