"year","num_teams","mean_lagwins","median_lagwins"
"1967",12,3.33333333333333,2
"1968",14,2.25,1.5
"1969",14,3.5,3
"1970",17,3.8,1
"1971",17,4,5
"1972",17,3.4,3
"1973",17,2.4,2
"1974",18,2.83333333333333,1
"1975",18,2.66666666666667,2.5
"1976",22,1.28571428571429,1
"1977",22,2,2
"1978",22,1,1
"1979",22,2,1
"1980",23,2.125,2
"1981",23,2.125,2
"1982",23,2.375,2
"1983",23,2.125,1.5
"1984",23,2.625,2
"1985",23,2.875,3
"1986",23,2.625,2
"1987",23,1.875,2
"1988",25,1.77777777777778,2
"1989",27,1.77777777777778,1
"1990",27,1.66666666666667,2
"1991",27,2.22222222222222,2
"1992",27,1.66666666666667,2
"1993",27,1.44444444444444,1
"1994",27,1.66666666666667,2
"1995",29,2.6,1.5
"1996",29,2,1.5
"1997",29,1.5,1
"1999",29,1.8,1
"2000",29,1,1
"2001",29,1.7,1
"2002",29,1.3,1
"2003",29,1.8,2
"2004",30,1.54545454545455,1
"2005",30,1.81818181818182,2
"2006",30,2.27272727272727,2
"2007",30,1.63636363636364,1
"2008",30,1.72727272727273,1
"2009",30,1,1
"2010",30,1.45454545454545,1
"2012",30,1.90909090909091,2
"2013",30,1.27272727272727,1
"2014",30,1.90909090909091,1
"2015",30,2.63636363636364,1
"2016",30,2.18181818181818,2
