"year","num_teams","mean_lagwins","median_lagwins"
"1967",12,3.66666666666667,3
"1968",14,2.45454545454545,2
"1969",14,2.63636363636364,3
"1970",17,2.64285714285714,2
"1971",17,3.28571428571429,2.5
"1972",17,3.35714285714286,3
"1973",17,2.14285714285714,2
"1974",18,1.93333333333333,1
"1975",18,1.86666666666667,1
"1976",22,1.22222222222222,1
"1977",22,1.5,1
"1978",22,1.33333333333333,1
"1979",22,1.72222222222222,1
"1980",23,1.78947368421053,2
"1981",23,1.84210526315789,1
"1982",23,2.10526315789474,2
"1983",23,1.73684210526316,1
"1984",23,1.68421052631579,2
"1985",23,1.94736842105263,2
"1986",23,1.94736842105263,2
"1987",23,2,2
"1988",25,2,1
"1989",27,1.91304347826087,1
"1990",27,1.60869565217391,2
"1991",27,1.8695652173913,2
"1992",27,1.60869565217391,1
"1993",27,1.8695652173913,1
"1994",27,1.65217391304348,2
"1995",29,1.88,1
"1996",29,1.92,2
"1997",29,1.72,1
"1999",29,1.8,1
"2000",29,1.4,1
"2001",29,1.36,1
"2002",29,1.4,1
"2003",29,1.32,1
"2004",30,1.38461538461538,1
"2005",30,1.46153846153846,1
"2006",30,1.42307692307692,1
"2007",30,1.69230769230769,1
"2008",30,1.65384615384615,1
"2009",30,1.34615384615385,1
"2010",30,1.5,1
"2012",30,1.57692307692308,1
"2013",30,1.42307692307692,1
"2014",30,1.76923076923077,1
"2015",30,1.92307692307692,1
"2016",30,1.5,1
