"year","num_teams","r_squared","slope"
"2015",30,0.870065673328155,-9.36088454980249
"2014",30,0.961507201956706,-8.63122688219157
"2013",30,0.983526512949526,-8.31956405934268
"2012",30,0.9726682554698,-9.49654954327789
"2010",30,0.989465085576999,-8.83289106168202
"2009",30,0.949923492772118,-8.26823135910874
"2008",30,0.979997907569784,-10.1308750533115
"2007",30,0.975792484907652,-9.13355402019506
"1997",29,0.982034901586583,-8.88016906355969
"1996",29,0.9744173304674,-10.9591923107452
"1995",29,0.927565121216359,-9.73434140542659
"1994",27,0.993841529705186,-9.27890408086151
"1993",27,0.938932719225828,-9.15435503279625
"1992",27,0.969412995609948,-7.81100458580671
"1991",27,0.959563689516735,-8.70953700399176
"1990",27,0.981993390936825,-10.2352628427911
"1989",27,0.956635094229079,-8.35368258094818
"1988",25,0.96624899192335,-6.80402045472584
"1987",23,0.974859574111335,-7.54987501519715
"1986",23,0.930140918580376,-8.09445616383431
"1985",23,0.954448754113775,-9.97573649549
"1984",23,0.922188238040314,-9.07222686252378
"1983",23,0.921878257244111,-6.58448116079488
"1982",23,0.936418803418804,-8.19347091813198
"1981",23,0.937000267799074,-7.74790452379248
"1979",22,0.950002283522104,-9.03180654198067
"1978",22,0.911011072128309,-4.94999009703901
"1977",22,0.911652566616064,-5.41208252476826
"1973",17,0.981993523572249,-8.39614387922733
"1972",17,0.984112100021191,-10.8670811169579
"1971",17,0.974199229402088,-11.8504132829935
"1969",14,0.949345928819951,-8.11043306976419
"1968",14,0.952800535889112,-8.27557763453314
"1967",12,0.951738382099828,-8.76356092008266
"2016",30,0.918300358581544,-8.26089811621818
"2004",30,0.964010856380152,-7.99323475071266
"2003",29,0.963908430176066,-8.02599672169279
"2002",29,0.928630591339722,-6.62386476428863
"2001",29,0.955355959116346,-7.32493074299071
"2000",29,0.948091207704224,-6.63192299392888
"1999",29,0.949710410557185,-8.20327777377837
"1980",23,0.963669386806638,-9.29501005969352
"1976",22,0.952977941176471,-4.50890187057019
"1975",18,0.901161544725901,-6.20542714140824
"1974",18,0.83165250081726,-6.82596985554906
"1970",17,0.808146872326795,-6.68161599998571
"2006",30,0.930147790474794,-8.74122552555
"2005",30,0.924710029077469,-8.31956405934268
