"year","num_teams","mean_lagwins","median_lagwins"
"1967",12,3.25,2.5
"1968",14,2.5,1.5
"1969",14,2.6,2.5
"1970",17,2.5,1.5
"1971",17,3.25,2
"1972",17,3,2.5
"1973",17,2.25,2
"1974",18,2,1
"1975",18,1.69230769230769,1
"1976",22,1.125,1
"1977",22,1.625,1
"1978",22,1.4375,1
"1979",22,1.6875,1
"1980",23,1.82352941176471,2
"1981",23,1.76470588235294,1
"1982",23,2.05882352941176,1
"1983",23,1.58823529411765,1
"1984",23,1.88235294117647,2
"1985",23,2.11764705882353,2
"1986",23,2,2
"1987",23,1.82352941176471,2
"1988",25,1.89473684210526,1
"1989",27,1.65,1
"1990",27,1.7,2
"1991",27,1.8,2
"1992",27,1.4,1
"1993",27,1.8,1
"1994",27,1.6,2
"1995",29,1.95454545454545,1.5
"1996",29,1.95454545454545,2
"1997",29,1.59090909090909,1
"1999",29,1.63636363636364,1
"2000",29,1.27272727272727,1
"2001",29,1.40909090909091,1
"2002",29,1.36363636363636,1
"2003",29,1.27272727272727,1
"2004",30,1.26086956521739,1
"2005",30,1.34782608695652,1
"2006",30,1.52173913043478,1
"2007",30,1.73913043478261,1
"2008",30,1.60869565217391,1
"2009",30,1.47826086956522,1
"2010",30,1.39130434782609,1
"2012",30,1.60869565217391,1
"2013",30,1.47826086956522,1
"2014",30,1.60869565217391,1
"2015",30,1.78260869565217,1
"2016",30,1.56521739130435,1
