"year","num_teams","mean_lagwins","median_lagwins"
"1967",12,6,6
"1968",14,2,2
"1969",14,4,4
"1970",17,7.5,7.5
"1971",17,6,6
"1972",17,4,4
"1973",17,2.5,2.5
"1974",18,5.5,5.5
"1975",18,5,5
"1976",22,1.33333333333333,1
"1977",22,3,3
"1978",22,2,2
"1979",22,1.66666666666667,1
"1980",23,1.66666666666667,2
"1981",23,2.66666666666667,2
"1982",23,4,3
"1983",23,4,2
"1984",23,1.66666666666667,1
"1985",23,4.33333333333333,5
"1986",23,3.33333333333333,2
"1987",23,2.66666666666667,3
"1988",25,2.75,2.5
"1989",27,2,2
"1990",27,2,2
"1991",27,3,1
"1992",27,1.75,2
"1993",27,1.75,1
"1994",27,1.25,1.5
"1995",29,4.25,4
"1996",29,3,3.5
"1997",29,1,0.5
"1999",29,3.5,2.5
"2000",29,1.25,1.5
"2001",29,2.25,2
"2002",29,2.5,1
"2003",29,1.5,1
"2004",30,2,2
"2005",30,2.8,2
"2006",30,3.2,3
"2007",30,2.2,1
"2008",30,2.4,3
"2009",30,1.6,2
"2010",30,1.2,1
"2012",30,2,1
"2013",30,1.6,2
"2014",30,2.4,1
"2015",30,4,2
"2016",30,3.2,2
