"year","num_teams","r_squared","slope"
"2015",30,0.841491841491841,-8.14400742639768
"2014",30,0.874408828166054,-5.24443821885672
"2009",30,0.905728215212408,-3.51730351697361
"2008",30,0.939809966938291,-6.31601814338272
"1997",29,0.945389830508475,-5.03523945444865
"1996",29,0.847385003150599,-4.94478605107532
"1993",27,0.901875901875902,-3.66987921708787
"1988",25,0.932226613965744,-4.88093935872687
"1987",23,0.888157894736842,-4.10791918128875
"1986",23,0.971045536249251,-6.70960132943828
"1985",23,0.947932330827068,-7.48554161923727
"1979",22,0.965973757924222,-5.27806718385423
"1969",14,0.952941176470588,-5.69209978830308
"1968",14,0.771367521367521,-3.00416377715996
"1967",12,0.914285714285714,-4.13118223595458
"2016",30,0.854362831738397,-6.3286249660242
"2010",30,0.971028971028971,-5.44614738112043
"2007",30,0.866573906368075,-4.37456745659444
"2001",29,0.950200803212851,-5.4875064713153
"1992",27,0.976454439869074,-4.9910357352395
"1991",27,0.852178321280404,-5.26627667652109
"1990",27,0.962684698221888,-4.55065022918896
"1989",27,0.912763476232747,-4.20201170356561
"1984",23,0.974131274131275,-7.94197708382491
"1983",23,0.8385498046875,-4.88385947108773
"1982",23,0.913502454991817,-5.56851266796919
"1981",23,0.938906581740977,-6.07059167901559
"1980",23,0.973825923606763,-6.57267069006199
"1975",18,0.893511146496815,-5.16916222373008
"1974",18,0.863408221797323,-6.55789237338891
"1973",17,0.995760057817393,-4.43653661574625
"1972",17,0.923711340206186,-5.98665181883831
"1971",17,0.95931510350115,-7.32295802840043
"2012",30,0.950351135064511,-6.37905225659013
"2005",30,0.91987428302035,-6.82029104904202
"2003",29,0.972982749026155,-5.63826214360418
"2002",29,0.799005681818182,-4.52267016866645
"2013",30,0.958010315476379,-4.3871742792359
"2006",30,0.921369705487766,-7.04721385658871
"2004",30,0.975776638549049,-5.73610430187452
"1995",29,0.915497465990931,-7.89959722793741
"1970",17,0.680539932508436,-5.87974732207334
"1999",29,0.801045627376426,-4.79403037878644
"1994",27,0.98023661440294,-5.15618030000845
"2000",29,0.977107279693487,-3.04526458023541
"1978",22,0.838996468152479,-2.42032915060719
"1977",22,0.955792466240228,-4.7823371168624
"1976",22,0.908892713711991,-2.59529270366313
