"year","num_teams","mean_lagwins","median_lagwins"
"1967",12,3.66666666666667,2.5
"1968",14,2.28571428571429,1
"1969",14,3,3
"1970",17,2.77777777777778,1
"1971",17,3.66666666666667,2
"1972",17,3.33333333333333,3
"1973",17,2.55555555555556,2
"1974",18,2.22222222222222,1
"1975",18,2.11111111111111,2
"1976",22,1.08333333333333,1
"1977",22,1.41666666666667,1
"1978",22,1.33333333333333,1
"1979",22,1.91666666666667,1
"1980",23,1.91666666666667,2
"1981",23,1.75,1
"1982",23,1.83333333333333,1.5
"1983",23,1.83333333333333,1
"1984",23,1.91666666666667,1.5
"1985",23,2.33333333333333,2
"1986",23,2,2
"1987",23,1.66666666666667,1.5
"1988",25,1.5,1
"1989",27,1.46666666666667,1
"1990",27,1.6,2
"1991",27,1.8,2
"1992",27,1.4,1
"1993",27,1.4,1
"1994",27,1.53333333333333,2
"1995",29,2.0625,1.5
"1996",29,1.875,1.5
"1997",29,1.3125,1
"1999",29,1.625,1
"2000",29,0.9375,1
"2001",29,1.25,1
"2002",29,1.125,1
"2003",29,1.375,1
"2004",30,1.17647058823529,1
"2005",30,1.52941176470588,1
"2006",30,1.64705882352941,1
"2007",30,1.64705882352941,1
"2008",30,1.76470588235294,1
"2009",30,1.23529411764706,1
"2010",30,1.35294117647059,1
"2012",30,1.64705882352941,1
"2013",30,1.41176470588235,1
"2014",30,1.70588235294118,1
"2015",30,1.88235294117647,1
"2016",30,1.58823529411765,1
