"year","num_teams","r_squared","slope"
"2015",30,0.838779055339565,-8.30539534499922
"2014",30,0.92298548742969,-6.3568218217494
"2012",30,0.939861617500829,-6.80403541724936
"2010",30,0.983540965717923,-6.64431627599937
"2009",30,0.950262739826469,-4.59991126799957
"2008",30,0.960484979095222,-7.4588838963743
"1997",29,0.973016892363535,-6.64730988114436
"1996",29,0.922092132618448,-7.3092826493911
"1995",29,0.8995179858981,-8.17352487460212
"1993",27,0.944173321502514,-4.83595356537332
"1992",27,0.98312101910828,-6.29101923991042
"1990",27,0.973471893361396,-6.3766113384126
"1988",25,0.937553579804929,-5.2570450414982
"1987",23,0.936005434782609,-5.00508831999088
"1986",23,0.965963952365626,-7.38702794215521
"1985",23,0.954679552390641,-8.26141084143072
"1979",22,0.974496644295302,-7.95989949685296
"1978",22,0.82632241813602,-2.44224189107988
"1972",17,0.954517218914292,-7.31930863617354
"1969",14,0.978425845620121,-7.32940912319937
"1968",14,0.872617302052786,-5.32346557369217
"1967",12,0.939201083276912,-7.26950578001794
"2016",30,0.884096770576362,-6.94778264437435
"2007",30,0.927444794952682,-6.26099033699941
"2004",30,0.948909966528985,-6.02141162512444
"2002",29,0.839441088712612,-4.9372135631736
"2001",29,0.939975522415122,-5.92097864931807
"1991",27,0.900741534887876,-6.07703899365496
"1989",27,0.954668534080299,-6.11983504290606
"1984",23,0.951497232008052,-8.2915619758885
"1983",23,0.87462311557789,-5.33675079902642
"1982",23,0.913796384395813,-5.90962235372417
"1981",23,0.911831726555653,-6.15083142938638
"1980",23,0.980473462002412,-7.68853928673297
"1976",22,0.922509225092251,-3.01511344577763
"1975",18,0.918041634541249,-5.75108685380425
"1974",18,0.878716216216216,-6.98346260819087
"1973",17,0.97942546583851,-5.0739430386223
"1971",17,0.921428571428572,-7.52343278140548
"1970",17,0.709648521894926,-5.86127902737404
"2013",30,0.96298198482933,-5.19087209062452
"2006",30,0.913091765951218,-7.42694006812431
"2005",30,0.920593975763225,-7.33110858337431
"2003",29,0.979049811067716,-6.75763867585215
"1994",27,0.985739205292012,-6.31241726453597
"2000",29,0.985576923076923,-3.76956715251616
"1999",29,0.87795695903804,-5.74629139103074
"1977",22,0.902043692741367,-4.82418151324422
