"year","num_teams","mean_lagwins","median_lagwins"
"1967",12,3.25,2.5
"1968",14,2.66666666666667,2
"1969",14,2.66666666666667,3
"1970",17,2.54545454545455,1
"1971",17,3.54545454545455,2
"1972",17,3.18181818181818,3
"1973",17,2.36363636363636,2
"1974",18,1.83333333333333,1
"1975",18,1.75,1.5
"1976",22,1.13333333333333,1
"1977",22,1.33333333333333,1
"1978",22,1.13333333333333,1
"1979",22,1.73333333333333,1
"1980",23,1.75,2
"1981",23,1.8125,1
"1982",23,2.1875,1.5
"1983",23,1.5625,1
"1984",23,1.8125,2
"1985",23,2.1875,2
"1986",23,1.8125,1.5
"1987",23,1.625,1.5
"1988",25,1.47058823529412,1
"1989",27,1.68421052631579,1
"1990",27,1.73684210526316,2
"1991",27,1.89473684210526,2
"1992",27,1.36842105263158,1
"1993",27,1.84210526315789,1
"1994",27,1.57894736842105,2
"1995",29,1.95,1.5
"1996",29,1.95,2
"1997",29,1.3,1
"1999",29,1.65,1
"2000",29,1.3,1
"2001",29,1.25,1
"2002",29,1.15,1
"2003",29,1.3,1
"2004",30,1.33333333333333,1
"2005",30,1.42857142857143,1
"2006",30,1.61904761904762,1
"2007",30,1.57142857142857,1
"2008",30,1.57142857142857,1
"2009",30,1.52380952380952,1
"2010",30,1.33333333333333,1
"2012",30,1.66666666666667,1
"2013",30,1.38095238095238,1
"2014",30,1.61904761904762,1
"2015",30,1.9047619047619,1
"2016",30,1.61904761904762,1
