"year","num_teams","r_squared","slope"
"2014",30,0.725026852846402,-4.00891862868637
"1993",27,0.730519480519481,-2.37170824512628
"1988",25,0.888888888888889,-3.79473319220206
"1986",23,0.914285714285714,-4.13118223595458
"1967",12,1,-4.24264068711929
"2010",30,0.895399515738499,-2.29844668044685
"2008",30,0.954037267080745,-5.13141584471855
"2007",30,0.728657660247197,-3.47439614486153
"1990",27,0.975663716814159,-3.3203915431768
"1987",23,0.852631578947368,-3.48568501158668
"1985",23,0.987755102040817,-5.68037557443755
"1984",23,0.952941176470588,-2.32379000772445
"1983",23,0.869879518072289,-4.90577890519606
"1982",23,0.925641025641026,-4.90577890519606
"1981",23,0.899280575539568,-3.22748612183952
"1980",23,0.862686567164179,-2.19469056285087
"1979",22,0.914285714285714,-2.06559111797729
"1975",18,1,-5
"1974",18,0.75,-5.5
"1973",17,0.986842105263158,-2.5
"1972",17,0.75,-4
"2016",30,0.872727272727273,-5.9866518188383
"2001",29,0.843457943925234,-3.00416377715996
"1997",29,0.75,-1.42302494707577
"1996",29,0.931201550387597,-4.90153037326099
"1995",29,0.916265060240964,-6.16644143732835
"1992",27,0.930412371134021,-3.00416377715996
"1991",27,0.670634920634921,-4.11096095821889
"1989",27,0.920918367346939,-3.00416377715996
"1971",17,1,-5.99999999999999
"1970",17,0.799763033175356,-7.49999999999999
"2015",30,0.846276395881867,-7.32295802840043
"2009",30,0.977142857142857,-3.04677815780164
"2005",30,0.959822270095597,-5.82629507369084
"2006",30,0.923711340206186,-5.9866518188383
"2004",30,0.924186704384724,-3.527848393244
"2002",29,0.824509803921569,-4.58530260724415
"2000",29,0.916666666666667,-1.7392527130926
"2012",30,0.778489702517162,-3.36749164809655
"1976",22,0.8,-1.54919333848297
"2013",30,0.933333333333333,-2.99332590941915
"2003",29,0.924528301886793,-2.21359436211787
"1999",29,0.853333333333333,-5.05964425626941
"1968",14,1,-1.41421356237309
"1969",14,1,-2.82842712474621
"1994",27,0.938888888888889,-2.05548047910945
"1978",22,1,-2.58198889747161
"1977",22,1,-3.87298334620742
