"year","num_teams","mean_lagwins","median_lagwins"
"1967",12,3.8,2
"1968",14,2.66666666666667,1.5
"1969",14,3.5,3.5
"1970",17,3.14285714285714,1
"1971",17,3.14285714285714,2
"1972",17,3.14285714285714,3
"1973",17,2.14285714285714,2
"1974",18,2.5,1
"1975",18,2.375,2
"1976",22,0.9,0.5
"1977",22,1.5,1
"1978",22,0.9,1
"1979",22,2.2,1.5
"1980",23,2.2,2
"1981",23,1.9,1.5
"1982",23,2,2
"1983",23,2,1.5
"1984",23,2.2,2
"1985",23,2.7,2.5
"1986",23,2.3,2
"1987",23,1.8,1.5
"1988",25,1.63636363636364,1
"1989",27,1.66666666666667,1
"1990",27,1.66666666666667,2
"1991",27,2,2
"1992",27,1.58333333333333,1.5
"1993",27,1.33333333333333,1
"1994",27,1.58333333333333,2
"1995",29,2.30769230769231,2
"1996",29,2.07692307692308,2
"1997",29,1.46153846153846,1
"1999",29,1.76923076923077,1
"2000",29,0.923076923076923,1
"2001",29,1.38461538461538,1
"2002",29,1.23076923076923,1
"2003",29,1.53846153846154,1
"2004",30,1.28571428571429,1
"2005",30,1.64285714285714,1.5
"2006",30,1.85714285714286,1
"2007",30,1.78571428571429,1.5
"2008",30,1.78571428571429,1
"2009",30,1.21428571428571,1
"2010",30,1.42857142857143,1
"2012",30,1.64285714285714,1
"2013",30,1.28571428571429,1
"2014",30,1.85714285714286,1
"2015",30,2.21428571428571,1
"2016",30,1.85714285714286,1.5
