"year","num_teams","mean_lagwins","median_lagwins"
"1967",12,4.27272727272727,3
"1968",14,3.15384615384615,2
"1969",14,2.53846153846154,3
"1970",17,3.1875,2
"1971",17,3.1875,2.5
"1972",17,3.6875,3
"1973",17,2.125,2
"1974",18,2.17647058823529,1
"1975",18,2.05882352941176,2
"1976",22,1.47619047619048,1
"1977",22,1.61904761904762,1
"1978",22,1.33333333333333,1
"1979",22,2.14285714285714,1
"1980",23,2.13636363636364,2
"1981",23,2.18181818181818,2
"1982",23,2.31818181818182,2
"1983",23,1.63636363636364,1
"1984",23,1.86363636363636,2
"1985",23,2,2
"1986",23,2.40909090909091,2
"1987",23,2.04545454545455,2
"1988",25,2,1
"1989",27,1.76923076923077,1
"1990",27,1.65384615384615,1.5
"1991",27,2,2
"1992",27,1.96153846153846,2
"1993",27,1.92307692307692,1
"1994",27,1.73076923076923,2
"1995",29,2.03571428571429,2
"1996",29,1.96428571428571,2
"1997",29,1.82142857142857,1
"1999",29,1.85714285714286,1
"2000",29,1.53571428571429,1
"2001",29,1.42857142857143,1
"2002",29,1.53571428571429,1
"2003",29,1.42857142857143,1
"2004",30,1.68965517241379,1
"2005",30,1.48275862068966,1
"2006",30,1.55172413793103,1
"2007",30,1.75862068965517,1
"2008",30,1.68965517241379,1
"2009",30,1.68965517241379,1
"2010",30,1.55172413793103,1
"2012",30,1.58620689655172,1
"2013",30,1.62068965517241,1
"2014",30,1.75862068965517,1
"2015",30,2.17241379310345,1
"2016",30,1.62068965517241,1
