"year","num_teams","mean_lagwins","median_lagwins"
"1967",12,4,4
"1968",14,1,1
"1969",14,5,5
"1970",17,6,3
"1971",17,4.33333333333333,6
"1972",17,3.66666666666667,3
"1973",17,2.33333333333333,2
"1974",18,4,1
"1975",18,3.66666666666667,5
"1976",22,1,0.5
"1977",22,2.5,3
"1978",22,1.5,2
"1979",22,1.5,1
"1980",23,2,2.5
"1981",23,2.75,2.5
"1982",23,3,2.5
"1983",23,3.25,2
"1984",23,2.75,2
"1985",23,4,4
"1986",23,3.25,2.5
"1987",23,2.25,2
"1988",25,2.2,2
"1989",27,1.6,1
"1990",27,1.6,2
"1991",27,2.8,2
"1992",27,1.6,2
"1993",27,1.6,1
"1994",27,1.4,2
"1995",29,3.33333333333333,3
"1996",29,2.16666666666667,2
"1997",29,1,0.5
"1999",29,2.5,1.5
"2000",29,1,1
"2001",29,1.83333333333333,1.5
"2002",29,1.66666666666667,0.5
"2003",29,1.5,1
"2004",30,1.83333333333333,1.5
"2005",30,2.5,2
"2006",30,2.83333333333333,2
"2007",30,1.83333333333333,1
"2008",30,2,2
"2009",30,1.33333333333333,1.5
"2010",30,1.16666666666667,1
"2012",30,2,1.5
"2013",30,1.33333333333333,1.5
"2014",30,2.33333333333333,1.5
"2015",30,4.16666666666667,3.5
"2016",30,2.66666666666667,2
