"year","num_teams","mean_lagwins","median_lagwins"
"1967",12,3.28571428571429,2
"1968",14,2.5,1.5
"1969",14,3,3
"1970",17,2.6,1
"1971",17,3.5,2
"1972",17,3.2,2.5
"1973",17,2.4,2
"1974",18,2,1
"1975",18,1.90909090909091,2
"1976",22,0.928571428571429,0.5
"1977",22,1.35714285714286,1
"1978",22,1.14285714285714,1
"1979",22,1.71428571428571,1
"1980",23,1.73333333333333,2
"1981",23,1.86666666666667,1
"1982",23,1.86666666666667,1
"1983",23,1.66666666666667,1
"1984",23,1.8,2
"1985",23,2.33333333333333,2
"1986",23,1.86666666666667,2
"1987",23,1.6,1
"1988",25,1.5,1
"1989",27,1.29411764705882,1
"1990",27,1.88235294117647,2
"1991",27,1.70588235294118,2
"1992",27,1.35294117647059,1
"1993",27,1.76470588235294,1
"1994",27,1.58823529411765,2
"1995",29,1.94736842105263,1
"1996",29,1.89473684210526,2
"1997",29,1.36842105263158,1
"1999",29,1.68421052631579,1
"2000",29,1.15789473684211,1
"2001",29,1.31578947368421,1
"2002",29,1.21052631578947,1
"2003",29,1.31578947368421,1
"2004",30,1.4,1
"2005",30,1.45,1
"2006",30,1.7,1
"2007",30,1.6,1
"2008",30,1.6,1
"2009",30,1.45,1
"2010",30,1.35,1
"2012",30,1.65,1
"2013",30,1.4,1
"2014",30,1.5,1
"2015",30,2,1
"2016",30,1.65,1
