"year","num_teams","r_squared","slope"
"2015",30,0.856745021709837,-9.04133365636477
"2014",30,0.955752155370785,-8.21133600341862
"2013",30,0.981338020943769,-7.88094858816822
"2012",30,0.9685842656358,-9.04939188600502
"2010",30,0.989064980421209,-8.53366518902878
"2009",30,0.961009277354718,-7.45386241723477
"2008",30,0.980167453767819,-9.8552148500304
"2007",30,0.972382832504584,-8.74317915967538
"1997",29,0.981267613751048,-8.58943613621456
"1996",29,0.970429381413982,-10.3776046120086
"1995",29,0.919526318267925,-9.38566040777457
"1994",27,0.991720913603048,-8.39621633441471
"1993",27,0.946689435821794,-7.37148126997828
"1992",27,0.963347503632118,-7.22823873408931
"1991",27,0.947335270782457,-7.68000365496989
"1990",27,0.975494944025239,-9.15650364028692
"1989",27,0.952556909573322,-7.22823873408931
"1988",25,0.961802658657323,-6.51022009507163
"1987",23,0.971308823529412,-7.19743963190397
"1986",23,0.926956725540244,-7.87657547265756
"1985",23,0.952913236541436,-9.67593538063355
"1983",23,0.923248323451182,-6.47629538862955
"1982",23,0.940045367917896,-7.21844383316439
"1981",23,0.924557777039361,-7.24644943484495
"1979",22,0.952256742617996,-8.83246851112417
"1978",22,0.892160331581075,-4.58393935387457
"1977",22,0.901703696999864,-5.20684400474951
"1973",17,0.976627308507417,-7.6583881522752
"1972",17,0.980302236198463,-10.1006300433551
"1971",17,0.966629580180982,-10.8845595392573
"1969",14,0.963858581619807,-7.98762063028367
"1968",14,0.93840616966581,-7.12039324756716
"1967",12,0.946108138120046,-8.25244758580523
"2016",30,0.908302959569608,-7.93735619565
"2004",30,0.958849428484042,-7.6392016989606
"2003",29,0.963245038479136,-7.8199009463828
"2002",29,0.920559767931631,-6.38313871334432
"2001",29,0.952182706132231,-7.10374392000758
"2000",29,0.974712626832844,-5.84935707877894
"1999",29,0.941997851772288,-7.80210822523062
"1984",23,0.918479815455594,-8.83576733021674
"1980",23,0.962291771243127,-8.98979813945982
"1976",22,0.95554060665362,-3.99297853124963
"1975",18,0.915262981498846,-6.21516356225087
"1974",18,0.840342115924141,-6.85811151696647
"1970",17,0.781906750173974,-6.39204050504859
"2006",30,0.925413826679649,-8.50949050010802
"2005",30,0.919430452724845,-8.09852078845507
