"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Derrick Williams",FALSE,"0:06",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,"2014-11-07_SAC_at_PHO","SAC"
"Ryan Hollins",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-11-07_SAC_at_PHO","SAC"
"Rudy Gay",TRUE,"37:38",9,19,0.474,1,6,0.167,4,4,1,2,8,10,6,2,0,1,2,23,2,"2014-11-09_SAC_at_OKC","SAC"
"Darren Collison",TRUE,"34:54",5,15,0.333,1,6,0.167,1,1,1,1,4,5,7,2,0,2,2,12,2,"2014-11-09_SAC_at_OKC","SAC"
"DeMarcus Cousins",TRUE,"34:09",7,15,0.467,0,0,NA,2,5,0.4,1,6,7,1,4,2,2,5,16,-4,"2014-11-09_SAC_at_OKC","SAC"
"Jason Thompson",TRUE,"28:16",1,2,0.5,0,0,NA,0,0,NA,1,3,4,0,1,0,0,5,2,1,"2014-11-09_SAC_at_OKC","SAC"
"Ben McLemore",TRUE,"27:43",6,9,0.667,4,6,0.667,0,0,NA,0,2,2,2,0,0,1,3,16,16,"2014-11-09_SAC_at_OKC","SAC"
"Carl Landry",FALSE,"19:22",3,4,0.75,0,0,NA,3,6,0.5,1,0,1,0,0,0,1,2,9,-9,"2014-11-09_SAC_at_OKC","SAC"
"Nik Stauskas",FALSE,"15:32",0,2,0,0,2,0,0,0,NA,0,0,0,1,0,0,1,2,0,-21,"2014-11-09_SAC_at_OKC","SAC"
"Reggie Evans",FALSE,"13:51",2,4,0.5,0,0,NA,1,1,1,2,3,5,1,1,0,1,0,5,-4,"2014-11-09_SAC_at_OKC","SAC"
"Ramon Sessions",FALSE,"13:06",1,4,0.25,0,1,0,2,2,1,0,0,0,3,1,0,1,2,4,-10,"2014-11-09_SAC_at_OKC","SAC"
