"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"D.J. Augustin",FALSE,"36:50",6,13,0.462,2,5,0.4,3,3,1,0,4,4,2,2,0,2,4,17,13,"2015-03-04_PHI_at_OKC","OKC"
"Nick Collison",FALSE,"25:46",2,5,0.4,0,0,NA,4,4,1,1,5,6,2,2,1,1,5,8,28,"2015-03-04_PHI_at_OKC","OKC"
"Mitch McGary",FALSE,"20:33",3,7,0.429,0,0,NA,0,0,NA,2,3,5,0,0,3,0,2,6,26,"2015-03-04_PHI_at_OKC","OKC"
"Anthony Morrow",FALSE,"15:11",3,8,0.375,3,6,0.5,2,2,1,0,0,0,2,1,0,0,1,11,33,"2015-03-04_PHI_at_OKC","OKC"
"Perry Jones",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-03-04_PHI_at_OKC","OKC"
"Jeremy Lamb",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-03-04_PHI_at_OKC","OKC"
"Serge Ibaka",TRUE,"45:31",12,19,0.632,0,1,0,1,2,0.5,2,7,9,3,1,3,2,3,25,1,"2015-03-05_OKC_at_CHI","OKC"
"Russell Westbrook",TRUE,"38:07",14,32,0.438,3,5,0.6,12,15,0.8,2,6,8,7,2,0,5,3,43,-8,"2015-03-05_OKC_at_CHI","OKC"
"Enes Kanter",TRUE,"30:28",2,6,0.333,0,0,NA,2,2,1,3,3,6,0,1,1,0,4,6,-2,"2015-03-05_OKC_at_CHI","OKC"
"Andre Roberson",TRUE,"22:41",1,2,0.5,0,1,0,0,0,NA,0,4,4,1,2,0,0,1,2,4,"2015-03-05_OKC_at_CHI","OKC"
"Kyle Singler",TRUE,"15:22",1,3,0.333,1,2,0.5,0,0,NA,0,2,2,0,1,0,0,0,3,9,"2015-03-05_OKC_at_CHI","OKC"
