"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Giannis Antetokounmpo",TRUE,"32:45",2,8,0.25,0,2,0,2,2,1,1,3,4,0,0,4,2,5,6,-2,"2015-01-02_IND_at_MIL","MIL"
"Brandon Knight",TRUE,"32:41",9,19,0.474,2,5,0.4,0,0,NA,0,2,2,7,4,0,2,1,20,4,"2015-01-02_IND_at_MIL","MIL"
"Khris Middleton",TRUE,"30:57",5,10,0.5,1,5,0.2,0,0,NA,1,7,8,3,2,0,1,6,11,2,"2015-01-02_IND_at_MIL","MIL"
"Zaza Pachulia",TRUE,"24:48",4,10,0.4,0,0,NA,4,4,1,4,10,14,1,1,1,0,0,12,10,"2015-01-02_IND_at_MIL","MIL"
"Johnny O'Bryant",TRUE,"13:29",0,4,0,0,0,NA,0,0,NA,0,0,0,2,0,0,1,0,0,-6,"2015-01-02_IND_at_MIL","MIL"
"O.J. Mayo",FALSE,"24:22",5,12,0.417,1,4,0.25,0,0,NA,0,1,1,1,0,0,2,3,11,-7,"2015-01-02_IND_at_MIL","MIL"
"John Henson",FALSE,"23:08",6,9,0.667,0,0,NA,2,4,0.5,3,7,10,1,0,2,2,3,14,-10,"2015-01-02_IND_at_MIL","MIL"
"Jerryd Bayless",FALSE,"22:45",3,9,0.333,0,2,0,0,0,NA,0,0,0,5,2,0,1,0,6,2,"2015-01-02_IND_at_MIL","MIL"
"Jared Dudley",FALSE,"22:38",3,6,0.5,3,5,0.6,0,0,NA,0,2,2,4,1,0,0,0,9,-3,"2015-01-02_IND_at_MIL","MIL"
"Kendall Marshall",FALSE,"12:27",1,2,0.5,0,1,0,0,0,NA,1,1,2,4,0,0,1,0,2,-5,"2015-01-02_IND_at_MIL","MIL"
"Ersan Ilyasova",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-02_IND_at_MIL","MIL"
"Nate Wolters",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-02_IND_at_MIL","MIL"
"Brandon Knight",TRUE,"32:23",6,14,0.429,1,3,0.333,4,5,0.8,2,0,2,5,0,0,3,0,17,7,"2015-01-04_MIL_at_NYK","MIL"
"Zaza Pachulia",TRUE,"30:52",6,12,0.5,0,0,NA,4,4,1,4,10,14,3,2,0,2,4,16,8,"2015-01-04_MIL_at_NYK","MIL"
"Giannis Antetokounmpo",TRUE,"29:40",6,9,0.667,1,1,1,3,6,0.5,5,7,12,2,1,2,4,4,16,7,"2015-01-04_MIL_at_NYK","MIL"
"Johnny O'Bryant",TRUE,"22:07",3,8,0.375,0,0,NA,4,6,0.667,2,0,2,1,0,1,0,1,10,6,"2015-01-04_MIL_at_NYK","MIL"
"Khris Middleton",TRUE,"21:44",2,6,0.333,1,2,0.5,3,3,1,1,4,5,3,2,0,1,2,8,5,"2015-01-04_MIL_at_NYK","MIL"
"Jerryd Bayless",FALSE,"25:27",1,5,0.2,1,3,0.333,0,0,NA,0,3,3,4,0,0,1,2,3,4,"2015-01-04_MIL_at_NYK","MIL"
"O.J. Mayo",FALSE,"24:49",2,9,0.222,0,4,0,0,0,NA,0,5,5,2,1,1,2,1,4,5,"2015-01-04_MIL_at_NYK","MIL"
"Kendall Marshall",FALSE,"20:56",6,8,0.75,0,2,0,3,3,1,0,2,2,3,1,0,1,1,15,10,"2015-01-04_MIL_at_NYK","MIL"
"Jared Dudley",FALSE,"20:49",1,3,0.333,0,1,0,0,0,NA,0,2,2,0,3,0,2,0,2,8,"2015-01-04_MIL_at_NYK","MIL"
"John Henson",FALSE,"11:12",2,3,0.667,0,0,NA,0,0,NA,0,1,1,0,0,0,2,5,4,5,"2015-01-04_MIL_at_NYK","MIL"
"Nate Wolters",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-04_MIL_at_NYK","MIL"
"Ersan Ilyasova",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-04_MIL_at_NYK","MIL"
"Brandon Knight",TRUE,"34:54",10,20,0.5,2,8,0.25,4,4,1,0,2,2,4,3,1,1,1,26,-1,"2015-01-06_PHO_at_MIL","MIL"
"Giannis Antetokounmpo",TRUE,"34:12",7,13,0.538,0,2,0,2,2,1,3,9,12,2,0,1,1,3,16,3,"2015-01-06_PHO_at_MIL","MIL"
"Khris Middleton",TRUE,"30:27",4,9,0.444,1,2,0.5,4,4,1,0,1,1,2,2,0,1,1,13,6,"2015-01-06_PHO_at_MIL","MIL"
"Zaza Pachulia",TRUE,"23:57",2,7,0.286,0,0,NA,3,4,0.75,4,4,8,2,1,0,6,2,7,5,"2015-01-06_PHO_at_MIL","MIL"
"Johnny O'Bryant",TRUE,"13:52",1,4,0.25,0,0,NA,1,2,0.5,0,3,3,0,0,1,1,1,3,2,"2015-01-06_PHO_at_MIL","MIL"
"John Henson",FALSE,"24:03",6,9,0.667,0,0,NA,1,2,0.5,4,2,6,3,0,1,3,4,13,-11,"2015-01-06_PHO_at_MIL","MIL"
"Jerryd Bayless",FALSE,"24:00",2,7,0.286,0,0,NA,0,0,NA,1,3,4,0,1,1,2,3,4,-12,"2015-01-06_PHO_at_MIL","MIL"
"Jared Dudley",FALSE,"23:56",3,9,0.333,0,4,0,4,4,1,1,3,4,2,1,0,0,3,10,-5,"2015-01-06_PHO_at_MIL","MIL"
"O.J. Mayo",FALSE,"17:33",2,6,0.333,0,3,0,0,0,NA,0,1,1,3,0,0,2,1,4,-12,"2015-01-06_PHO_at_MIL","MIL"
"Kendall Marshall",FALSE,"13:06",0,4,0,0,1,0,0,0,NA,0,3,3,4,1,0,0,2,0,-5,"2015-01-06_PHO_at_MIL","MIL"
"Ersan Ilyasova",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-06_PHO_at_MIL","MIL"
"Nate Wolters",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-06_PHO_at_MIL","MIL"
"Zaza Pachulia",TRUE,"32:12",5,10,0.5,0,0,NA,1,1,1,3,9,12,7,1,0,4,5,11,17,"2015-01-07_MIL_at_PHI","MIL"
"Brandon Knight",TRUE,"31:55",6,12,0.5,4,7,0.571,2,4,0.5,0,3,3,5,0,0,5,1,18,20,"2015-01-07_MIL_at_PHI","MIL"
"Khris Middleton",TRUE,"27:22",7,9,0.778,2,2,1,2,2,1,0,3,3,3,5,0,0,2,18,20,"2015-01-07_MIL_at_PHI","MIL"
"Johnny O'Bryant",TRUE,"23:10",3,6,0.5,0,0,NA,0,0,NA,2,1,3,0,0,0,5,4,6,7,"2015-01-07_MIL_at_PHI","MIL"
"Giannis Antetokounmpo",TRUE,"15:21",3,9,0.333,0,0,NA,1,2,0.5,1,2,3,2,1,0,1,1,7,9,"2015-01-07_MIL_at_PHI","MIL"
"Jerryd Bayless",FALSE,"25:57",6,6,1,0,0,NA,0,0,NA,0,5,5,4,2,0,4,3,12,12,"2015-01-07_MIL_at_PHI","MIL"
"Jared Dudley",FALSE,"23:39",2,3,0.667,0,1,0,0,0,NA,0,7,7,1,1,0,0,2,4,9,"2015-01-07_MIL_at_PHI","MIL"
"O.J. Mayo",FALSE,"23:33",6,11,0.545,2,6,0.333,1,2,0.5,0,4,4,6,1,0,0,1,15,10,"2015-01-07_MIL_at_PHI","MIL"
"Nate Wolters",FALSE,"21:03",1,5,0.2,0,1,0,0,0,NA,1,0,1,2,2,0,1,4,2,-7,"2015-01-07_MIL_at_PHI","MIL"
"John Henson",FALSE,"15:48",2,5,0.4,0,0,NA,0,0,NA,0,2,2,2,1,4,4,3,4,3,"2015-01-07_MIL_at_PHI","MIL"
"Kendall Marshall",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-07_MIL_at_PHI","MIL"
"Ersan Ilyasova",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-07_MIL_at_PHI","MIL"
"Giannis Antetokounmpo",TRUE,"28:44",5,9,0.556,0,0,NA,0,0,NA,1,6,7,1,1,1,4,4,10,-1,"2015-01-09_MIN_at_MIL","MIL"
"Khris Middleton",TRUE,"25:45",3,8,0.375,2,5,0.4,2,2,1,1,6,7,2,2,0,1,3,10,1,"2015-01-09_MIN_at_MIL","MIL"
"Zaza Pachulia",TRUE,"24:16",4,8,0.5,0,0,NA,0,0,NA,5,4,9,3,2,0,2,1,8,7,"2015-01-09_MIN_at_MIL","MIL"
"Brandon Knight",TRUE,"22:34",5,10,0.5,2,3,0.667,2,2,1,0,0,0,4,2,0,5,2,14,4,"2015-01-09_MIN_at_MIL","MIL"
"Johnny O'Bryant",TRUE,"12:23",2,5,0.4,0,0,NA,0,1,0,0,0,0,0,0,0,1,0,4,-11,"2015-01-09_MIN_at_MIL","MIL"
"O.J. Mayo",FALSE,"28:21",4,6,0.667,4,4,1,0,0,NA,0,3,3,4,1,0,4,5,12,18,"2015-01-09_MIN_at_MIL","MIL"
"Jared Dudley",FALSE,"25:47",4,11,0.364,1,2,0.5,0,0,NA,1,3,4,1,2,0,0,1,9,23,"2015-01-09_MIN_at_MIL","MIL"
"Jerryd Bayless",FALSE,"24:04",3,7,0.429,1,3,0.333,0,0,NA,0,5,5,5,1,0,2,0,7,12,"2015-01-09_MIN_at_MIL","MIL"
"John Henson",FALSE,"20:32",4,6,0.667,0,0,NA,4,5,0.8,1,1,2,1,0,2,1,2,12,9,"2015-01-09_MIN_at_MIL","MIL"
"Kendall Marshall",FALSE,"19:47",2,2,1,2,2,1,0,0,NA,0,0,0,9,2,0,1,0,6,13,"2015-01-09_MIN_at_MIL","MIL"
"Kenyon Martin",FALSE,"7:47",3,3,1,0,0,NA,0,0,NA,0,2,2,0,0,1,1,3,6,-5,"2015-01-09_MIN_at_MIL","MIL"
"Larry Sanders",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-09_MIN_at_MIL","MIL"
"Ersan Ilyasova",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-09_MIN_at_MIL","MIL"
"Brandon Knight",TRUE,"34:14",9,19,0.474,0,2,0,2,2,1,0,5,5,5,1,0,1,3,20,-5,"2015-01-10_MIL_at_CHI","MIL"
"Khris Middleton",TRUE,"34:14",5,10,0.5,1,2,0.5,0,0,NA,2,3,5,1,2,0,0,3,11,-5,"2015-01-10_MIL_at_CHI","MIL"
"Giannis Antetokounmpo",TRUE,"26:12",2,6,0.333,0,0,NA,0,1,0,1,5,6,2,1,1,2,5,4,0,"2015-01-10_MIL_at_CHI","MIL"
"Zaza Pachulia",TRUE,"24:39",3,12,0.25,0,0,NA,1,2,0.5,2,2,4,2,0,1,2,3,7,0,"2015-01-10_MIL_at_CHI","MIL"
"Johnny O'Bryant",TRUE,"7:54",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,1,2,0,0,2,-10,"2015-01-10_MIL_at_CHI","MIL"
"Jared Dudley",FALSE,"32:12",5,10,0.5,0,3,0,5,6,0.833,1,2,3,4,1,0,2,1,15,-3,"2015-01-10_MIL_at_CHI","MIL"
"Jerryd Bayless",FALSE,"25:26",3,6,0.5,0,1,0,2,2,1,2,3,5,1,2,0,0,2,8,-1,"2015-01-10_MIL_at_CHI","MIL"
"O.J. Mayo",FALSE,"25:07",5,8,0.625,2,3,0.667,0,0,NA,0,2,2,1,1,2,0,0,12,-2,"2015-01-10_MIL_at_CHI","MIL"
"John Henson",FALSE,"17:51",2,6,0.333,0,0,NA,2,3,0.667,4,3,7,1,0,4,2,5,6,-9,"2015-01-10_MIL_at_CHI","MIL"
"Kendall Marshall",FALSE,"6:41",1,1,1,0,0,NA,0,0,NA,0,0,0,1,0,0,2,0,2,-6,"2015-01-10_MIL_at_CHI","MIL"
"Kenyon Martin",FALSE,"5:30",0,1,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,2,0,1,"2015-01-10_MIL_at_CHI","MIL"
"Ersan Ilyasova",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-10_MIL_at_CHI","MIL"
"Brandon Knight",TRUE,"35:16",6,13,0.462,2,3,0.667,6,6,1,1,4,5,6,6,0,3,0,20,20,"2015-01-15_NYK_at_MIL","MIL"
"Khris Middleton",TRUE,"33:23",4,9,0.444,2,4,0.5,4,6,0.667,0,6,6,5,3,0,0,2,14,19,"2015-01-15_NYK_at_MIL","MIL"
"Giannis Antetokounmpo",TRUE,"32:54",6,10,0.6,0,0,NA,4,5,0.8,1,4,5,0,2,0,2,4,16,14,"2015-01-15_NYK_at_MIL","MIL"
"Zaza Pachulia",TRUE,"28:09",2,8,0.25,0,0,NA,7,8,0.875,7,7,14,5,0,0,3,1,11,25,"2015-01-15_NYK_at_MIL","MIL"
"Johnny O'Bryant",TRUE,"10:08",0,2,0,0,0,NA,0,0,NA,1,0,1,1,0,0,1,1,0,12,"2015-01-15_NYK_at_MIL","MIL"
"O.J. Mayo",FALSE,"24:14",8,14,0.571,4,6,0.667,2,2,1,0,1,1,0,0,0,1,0,22,9,"2015-01-15_NYK_at_MIL","MIL"
"Jared Dudley",FALSE,"22:32",1,5,0.2,0,2,0,0,0,NA,2,3,5,1,1,1,0,2,2,1,"2015-01-15_NYK_at_MIL","MIL"
"John Henson",FALSE,"17:53",1,3,0.333,0,0,NA,2,6,0.333,1,2,3,1,0,1,2,2,4,-5,"2015-01-15_NYK_at_MIL","MIL"
"Jerryd Bayless",FALSE,"17:38",0,1,0,0,0,NA,5,5,1,0,0,0,2,0,0,2,2,5,-6,"2015-01-15_NYK_at_MIL","MIL"
"Ersan Ilyasova",FALSE,"12:15",0,6,0,0,3,0,1,4,0.25,0,2,2,0,0,0,1,3,1,-8,"2015-01-15_NYK_at_MIL","MIL"
"Kendall Marshall",FALSE,"3:40",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,1,0,0,0,0,3,"2015-01-15_NYK_at_MIL","MIL"
"Kenyon Martin",FALSE,"1:58",0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,-4,"2015-01-15_NYK_at_MIL","MIL"
"Brandon Knight",TRUE,"41:16",7,21,0.333,2,7,0.286,4,6,0.667,0,5,5,5,4,1,4,4,20,3,"2015-01-19_TOR_at_MIL","MIL"
"Giannis Antetokounmpo",TRUE,"32:53",3,8,0.375,0,0,NA,0,0,NA,0,3,3,5,3,1,1,0,6,3,"2015-01-19_TOR_at_MIL","MIL"
"Khris Middleton",TRUE,"31:17",4,10,0.4,1,3,0.333,0,0,NA,2,4,6,2,1,0,2,1,9,3,"2015-01-19_TOR_at_MIL","MIL"
"Zaza Pachulia",TRUE,"19:37",3,3,1,0,0,NA,3,6,0.5,3,3,6,2,3,0,1,2,9,2,"2015-01-19_TOR_at_MIL","MIL"
"Johnny O'Bryant",TRUE,"7:09",3,5,0.6,0,0,NA,0,0,NA,2,0,2,0,0,0,0,1,6,2,"2015-01-19_TOR_at_MIL","MIL"
"O.J. Mayo",FALSE,"23:34",4,8,0.5,1,2,0.5,4,4,1,0,4,4,3,0,0,3,1,13,-6,"2015-01-19_TOR_at_MIL","MIL"
"Ersan Ilyasova",FALSE,"22:36",5,9,0.556,1,3,0.333,3,6,0.5,3,4,7,0,0,1,0,3,14,-8,"2015-01-19_TOR_at_MIL","MIL"
"Jared Dudley",FALSE,"22:18",0,2,0,0,2,0,0,0,NA,0,3,3,1,1,0,2,2,0,-2,"2015-01-19_TOR_at_MIL","MIL"
"John Henson",FALSE,"20:54",3,4,0.75,0,0,NA,1,2,0.5,1,3,4,4,0,2,2,4,7,-3,"2015-01-19_TOR_at_MIL","MIL"
"Jerryd Bayless",FALSE,"14:33",2,5,0.4,0,1,0,1,1,1,0,2,2,0,0,0,1,3,5,-4,"2015-01-19_TOR_at_MIL","MIL"
"Kenyon Martin",FALSE,"3:53",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-5,"2015-01-19_TOR_at_MIL","MIL"
"Larry Sanders",FALSE,"Player Suspended",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-01-19_TOR_at_MIL","MIL"
"Zaza Pachulia",TRUE,"30:41",4,14,0.286,0,0,NA,2,2,1,8,2,10,3,0,0,2,2,10,19,"2015-01-22_UTA_at_MIL","MIL"
"Khris Middleton",TRUE,"28:42",3,6,0.5,1,1,1,0,0,NA,0,3,3,0,1,0,0,3,7,7,"2015-01-22_UTA_at_MIL","MIL"
"Giannis Antetokounmpo",TRUE,"28:08",5,10,0.5,0,2,0,3,3,1,1,5,6,3,5,0,2,4,13,1,"2015-01-22_UTA_at_MIL","MIL"
"Brandon Knight",TRUE,"26:35",6,16,0.375,0,2,0,4,5,0.8,1,1,2,5,1,1,0,2,16,5,"2015-01-22_UTA_at_MIL","MIL"
"Ersan Ilyasova",TRUE,"17:23",3,6,0.5,1,1,1,0,0,NA,0,1,1,1,2,1,1,1,7,5,"2015-01-22_UTA_at_MIL","MIL"
"Jared Dudley",FALSE,"25:11",6,10,0.6,3,5,0.6,1,2,0.5,0,4,4,0,1,0,0,1,16,-10,"2015-01-22_UTA_at_MIL","MIL"
"O.J. Mayo",FALSE,"22:30",6,10,0.6,0,1,0,0,0,NA,1,1,2,4,1,1,3,3,12,-7,"2015-01-22_UTA_at_MIL","MIL"
"Johnny O'Bryant",FALSE,"22:06",4,8,0.5,0,0,NA,0,0,NA,3,3,6,1,0,0,0,3,8,-2,"2015-01-22_UTA_at_MIL","MIL"
"Jerryd Bayless",FALSE,"21:25",3,7,0.429,0,1,0,0,0,NA,0,2,2,9,0,1,2,2,6,-7,"2015-01-22_UTA_at_MIL","MIL"
"John Henson",FALSE,"15:05",2,4,0.5,0,0,NA,0,0,NA,1,3,4,0,0,1,2,3,4,-22,"2015-01-22_UTA_at_MIL","MIL"
"Kenyon Martin",FALSE,"2:14",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,1,"2015-01-22_UTA_at_MIL","MIL"
