"n_100","n_200","n_300","n_400","n_500","n_600","n_700","n_800","n_900","n_1000"
1,1,1,0.8725,0.864,1,0.851428571428571,0.85625,0.863333333333333,0.871
1,0.815,0.86,0.85,0.85,0.838333333333333,0.848571428571429,0.8675,0.833333333333333,0.86
0.85,1,1,0.8325,0.858,0.878333333333333,0.83,0.84,0.85,0.87
1,0.88,0.846666666666667,0.84,0.856,0.881666666666667,0.864285714285714,0.87,0.863333333333333,0.852
1,0.83,0.86,0.875,0.85,0.861666666666667,0.872857142857143,0.82625,0.846666666666667,0.86
1,1,0.836666666666667,0.875,0.852,0.848333333333333,0.882857142857143,0.855,0.865555555555556,0.864
1,0.995,0.846666666666667,0.835,0.872,0.86,0.861428571428571,0.855,0.846666666666667,0.86
0.86,1,1,0.86,0.846,0.86,0.867142857142857,0.85125,0.856666666666667,0.858
1,1,0.876666666666667,0.8625,0.874,0.858333333333333,0.878571428571429,0.875,0.857777777777778,0.872
1,1,0.856666666666667,0.89,0.872,0.873333333333333,0.998571428571429,0.8625,0.866666666666667,0.85
1,0.815,1,0.8675,0.86,0.83,0.838571428571429,0.8875,0.86,0.857
1,0.85,1,0.89,0.86,0.873333333333333,0.845714285714286,0.84625,0.84,0.844
1,1,0.866666666666667,0.8675,0.858,0.873333333333333,0.83,0.835,0.842222222222222,0.855
1,0.885,1,0.8375,0.876,0.833333333333333,0.834285714285714,0.85125,0.857777777777778,0.865
1,0.87,0.88,0.875,0.862,0.876666666666667,0.871428571428571,0.8275,0.865555555555556,0.865
1,0.845,1,0.845,0.832,0.855,0.858571428571429,0.84875,0.861111111111111,0.856
0.82,1,1,0.8675,0.85,0.856666666666667,0.86,0.84,0.858888888888889,0.846
0.99,0.875,0.83,1,0.84,1,0.864285714285714,0.84625,0.85,0.859
1,0.84,0.823333333333333,0.875,0.866,0.823333333333333,0.834285714285714,0.8625,0.865555555555556,0.879
0.8,0.835,0.87,0.86,1,0.863333333333333,0.842857142857143,0.8675,0.834444444444444,0.854
1,1,1,1,0.862,0.838333333333333,0.887142857142857,0.845,0.851111111111111,0.867
1,1,0.826666666666667,0.8575,0.842,0.856666666666667,0.865714285714286,0.8525,0.865555555555556,0.866
0.87,0.995,0.846666666666667,0.8425,0.878,0.85,0.845714285714286,0.86375,0.845555555555556,0.864
1,0.835,0.843333333333333,0.8775,0.85,0.848333333333333,0.998571428571429,0.99875,0.853333333333333,0.869
1,1,0.9,0.865,0.85,0.87,0.844285714285714,0.87,0.87,0.861
1,1,1,0.8725,0.866,0.846666666666667,0.882857142857143,0.84875,0.872222222222222,0.849
1,0.82,1,0.85,0.856,0.871666666666667,0.997142857142857,0.85125,0.861111111111111,0.85
1,0.99,0.846666666666667,0.8675,0.866,0.998333333333333,0.855714285714286,0.85,0.855555555555556,0.878
0.99,1,0.863333333333333,0.8825,0.998,0.855,0.857142857142857,0.86375,0.827777777777778,0.859
1,1,0.86,0.8575,1,0.86,0.86,0.86125,0.863333333333333,0.859
0.87,1,1,0.845,0.84,0.856666666666667,1,0.86875,0.853333333333333,0.857
1,1,1,1,0.86,0.865,0.847142857142857,0.85625,0.854444444444444,0.847
1,1,1,1,0.876,0.866666666666667,0.852857142857143,0.84625,0.874444444444444,0.853
1,1,0.84,0.855,0.82,0.855,0.86,0.86125,0.86,0.838
1,0.835,0.86,1,0.856,1,0.858571428571429,1,0.874444444444444,0.863
