"n","total_time"
"100",52.3621921539307
"200",2.18922675053279
"300",4.82589462995529
"400",7.05955789883931
"500",10.0710518836975
"600",13.0995444655418
"700",14.1441652655602
"800",18.8452145338058
"900",21.9438926299413
"1000",26.5419360836347
