st_cd	year	lhpi_real	lpci_real
9	1975	4.454843	2.215701
9	1976	4.45686	2.22902
9	1977	4.45587	2.275661
9	1978	4.572667	2.317104
9	1979	4.674296	2.342777
9	1980	4.60517	2.356221
9	1981	4.58296	2.370786
9	1982	4.542312	2.38817
9	1983	4.58462	2.425081
9	1984	4.650576	2.487716
9	1985	4.758017	2.505036
9	1986	4.924365	2.532022
9	1987	5.102402	2.553618
9	1988	5.146785	2.607279
9	1989	5.078021	2.628703
9	1990	4.968009	2.604486
9	1991	4.874254	2.570077
9	1992	4.827811	2.591722
9	1993	4.781792	2.584016
9	1994	4.726072	2.589245
9	1995	4.695868	2.605268
9	1996	4.681263	2.605347
9	1997	4.669744	2.629624
9	1998	4.702391	2.668124
9	1999	4.735419	2.682823
9	2000	4.779528	2.722743
9	2001	4.838983	2.739214
9	2002	4.905203	2.7497
9	2003	4.956349	2.738092
9	2004	5.034952	2.760152
9	2005	5.112514	2.745548
9	2006	5.130873	2.789122
9	2007	5.106114	2.812633
9	2008	5.028487	2.815585
9	2009	4.96985	2.759098
9	2010	4.917865	2.789747
9	2011	4.861132	2.784872
10	1975	4.722105	2.134837
10	1976	4.715603	2.15722
10	1977	4.614646	2.168718
10	1978	4.605111	2.199951
10	1979	4.571344	2.192595
10	1980	4.60517	2.194666
10	1981	4.534422	2.185041
10	1982	4.51798	2.221494
10	1983	4.567473	2.266626
10	1984	4.587857	2.318191
10	1985	4.630644	2.350125
10	1986	4.712299	2.365331
10	1987	4.794775	2.382722
10	1988	4.850998	2.407211
10	1989	4.896953	2.446761
10	1990	4.871275	2.419683
10	1991	4.842356	2.424136
10	1992	4.823	2.413763
10	1993	4.803161	2.404293
10	1994	4.758434	2.395823
10	1995	4.734856	2.408633
10	1996	4.726624	2.431494
10	1997	4.717257	2.425763
10	1998	4.739206	2.482271
10	1999	4.754456	2.484516
10	2000	4.784689	2.527147
10	2001	4.828021	2.540803
10	2002	4.88577	2.572938
10	2003	4.946571	2.581138
10	2004	5.035706	2.592125
10	2005	5.139761	2.574303
10	2006	5.192631	2.591663
10	2007	5.195357	2.59384
10	2008	5.130102	2.590559
10	2009	5.082817	2.565645
10	2010	5.022338	2.564039
10	2011	4.940475	2.574888
11	1975	4.584262	2.633973
11	1976	4.605083	2.599237
11	1977	4.675808	2.600263
11	1978	4.716436	2.541238
11	1979	4.708872	2.438081
11	1980	4.60517	2.339688
11	1981	4.503613	2.278976
11	1982	4.366014	2.288316
11	1983	4.338899	2.31053
11	1984	4.340173	2.355534
11	1985	4.355146	2.369597
11	1986	4.421026	2.395618
11	1987	4.508034	2.398199
11	1988	4.616246	2.456553
11	1989	4.673943	2.470242
11	1990	4.648183	2.499437
11	1991	4.60233	2.509055
11	1992	4.588618	2.526086
11	1993	4.544923	2.535193
11	1994	4.486966	2.527336
11	1995	4.442993	2.509552
11	1996	4.427362	2.517904
11	1997	4.383846	2.519104
11	1998	4.423933	2.540548
11	1999	4.478906	2.521847
11	2000	4.579895	2.572559
11	2001	4.694361	2.683632
11	2002	4.812346	2.708521
11	2003	4.901536	2.732773
11	2004	5.054582	2.78035
11	2005	5.225398	2.804732
