"year","slope"
"2015",-9.36088454980249
"2014",-8.63122688219157
"2013",-8.31956405934267
"2012",-9.49654954327789
"2010",-8.83289106168202
"2009",-8.26823135910874
"2008",-10.1308750533115
"2007",-9.13355402019506
"1997",-8.88016906355969
"1996",-10.9591923107452
"1995",-9.73434140542659
"1994",-9.27890408086151
"1993",-9.15435503279625
"1992",-7.81100458580671
"1991",-8.70953700399177
"1990",-10.2352628427911
"1989",-8.35368258094818
"1988",-6.80402045472584
"1987",-7.54987501519715
"1986",-8.09445616383431
"1985",-9.97573649548999
"1984",-9.07222686252378
"1983",-6.58448116079488
"1982",-8.19347091813198
"1981",-7.74790452379247
"1979",-9.03180654198067
"1978",-4.94999009703901
"1977",-5.41208252476826
"1973",-8.39614387922733
"1972",-10.8670811169579
"1971",-11.8504132829935
"1969",-8.11043306976419
"1968",-8.27557763453314
"1967",-8.76356092008266
"2016",-8.26089811621818
"2004",-7.99323475071266
"2003",-8.02599672169279
"2002",-6.62386476428863
"2001",-7.32493074299071
"2000",-6.63192299392888
"1999",-8.20327777377837
"1980",-9.29501005969353
"1976",-4.50890187057019
"1975",-6.20542714140824
"1974",-6.82596985554907
"1970",-6.68161599998571
"2006",-8.74122552555
"2005",-8.31956405934267
