"year","slope"
"2015",-8.10092587300984
"2014",-4.08903877399543
"2009",-3.0089153242608
"1996",-4.39764547391963
"1993",-2.45880342559431
"1988",-3.8485618835389
"1986",-4.74341649025257
"1967",-4
"2010",-2.46885359939347
"2008",-5.09201054874903
"2007",-3.24037034920392
"1990",-3.20713490294909
"1987",-3.3203915431768
"1985",-6.32455532033676
"1984",-4.1109609582189
"1983",-4.74341649025257
"1982",-4.58530260724415
"1981",-3.95284707521047
"1980",-3.32039154317679
"1979",-2.5298221281347
"1975",-4.90577890519606
"1974",-6.06767390905829
"1973",-2.96928723209235
"1972",-4.26028168082816
"1971",-5.80947501931113
"2016",-5.55492059863531
"2005",-6.09498232350264
"2001",-4.24334212395753
"1997",-2.54600527437451
"1995",-6.71219572335099
"1992",-3.04677815780164
"1991",-4.16927537383382
"1989",-2.93987366103666
"1970",-7.10046946804693
"2006",-5.94067897354055
"2004",-4.01188709901439
"2003",-2.85461197429871
"2002",-4.5519488238817
"2000",-2.08309522448824
"2012",-3.54897704912811
"1977",-4.11096095821889
"1976",-1.42302494707577
"2013",-2.8546119742987
"1999",-4.62910049886276
"1968",-1
"1969",-5
"1994",-2.4588034255943
"1978",-2.5298221281347
