"year","slope"
"2015",-13.3412276375552
"2014",-13.2550541178763
"2013",-12.7967676723114
"2012",-12.6302961002046
"2010",-13.0944580130203
"2009",-13.0631221876825
"2008",-14.0306157949861
"2007",-13.6976726507723
"2006",-10.5640901169954
"2005",-10.9322860647142
"2004",-12.4011528774221
"2003",-11.0523234172946
"2002",-11.4801552915125
"2001",-11.1781563214763
"2000",-12.5077906756632
"1999",-12.9524002704386
"1997",-15.2677257073823
"1996",-15.5697246774184
"1995",-13.8290361695713
"1994",-13.1851452699757
"1993",-14.2851188004
"1992",-12.6763469409249
"1991",-12.9186318595205
"1990",-12.8798662725452
"1989",-13.9653027078538
"1988",-12.9532492706142
"1987",-12.6733063222232
"1986",-12.3181052460319
"1985",-11.5138763942779
"1984",-11.7283374214123
"1983",-9.22182416677902
"1982",-12.961488327435
"1981",-12.1907690111708
"1980",-13.0151035842187
"1979",-12.2465156272387
"1978",-8.27189798055402
"1977",-8.92455659781404
"1976",-7.80990367844861
"1975",-8.31908573816681
"1974",-9.23363423653481
"1973",-10.8544924398818
"1972",-16.0651438847965
"1971",-15.2111416289792
"1970",-11.3000588342213
"1969",-9.67215766938294
"1968",-12.2097199476621
"1967",-13.665795743367
"2016",-10.963621890052
