"year","slope"
"2015",-8.30539534499921
"2014",-6.3568218217494
"2012",-6.80403541724936
"2010",-6.64431627599937
"2009",-4.59991126799957
"2008",-7.4588838963743
"1997",-6.64730988114435
"1996",-7.3092826493911
"1995",-8.17352487460212
"1993",-4.83595356537332
"1992",-6.29101923991042
"1990",-6.3766113384126
"1988",-5.25704504149819
"1987",-5.00508831999088
"1986",-7.38702794215521
"1985",-8.26141084143072
"1979",-7.95989949685296
"1978",-2.44224189107988
"1972",-7.31930863617354
"1969",-7.32940912319937
"1968",-5.32346557369217
"1967",-7.26950578001794
"2016",-6.94778264437435
"2007",-6.26099033699941
"2004",-6.02141162512444
"2002",-4.9372135631736
"2001",-5.92097864931807
"1991",-6.07703899365496
"1989",-6.11983504290606
"1984",-8.2915619758885
"1983",-5.33675079902642
"1982",-5.90962235372417
"1981",-6.15083142938638
"1980",-7.68853928673297
"1976",-3.01511344577763
"1975",-5.75108685380425
"1974",-6.98346260819087
"1973",-5.0739430386223
"1971",-7.52343278140548
"1970",-5.86127902737404
"2013",-5.19087209062452
"2006",-7.42694006812431
"2005",-7.33110858337431
"2003",-6.75763867585215
"1994",-6.31241726453597
"2000",-3.76956715251616
"1999",-5.74629139103074
"1977",-4.82418151324422
