"year","slope"
"2015",-8.12455126965996
"2014",-4.65564173879391
"2009",-3.286335345031
"1996",-4.1699646811666
"1993",-2.6827744801911
"1988",-3.93473542403335
"1986",-5.23832034148352
"1985",-6.46772205428067
"1979",-3.90201413192139
"1969",-5.42217668469038
"1967",-4
"2010",-3.74277080961863
"2008",-5.52286912151042
"2007",-3.46890953086605
"1991",-4.4907311951025
"1990",-3.55759224547081
"1987",-3.04677815780165
"1984",-5.6659383285434
"1983",-4.65034560927619
"1982",-4.70379785765867
"1981",-5.07796359633607
"1980",-4.11582312545134
"1975",-5.0596442562694
"1974",-6.00832755431991
"1973",-3.79473319220206
"1972",-5.53398590529466
"1971",-6.79889696936201
"2016",-5.11207720338155
"2012",-5.02079011046402
"2005",-6.20752231839188
"2002",-4.51989178727848
"2001",-4.4615706029265
"2006",-6.11623522547435
"1997",-2.82857744107104
"1995",-7.37762982052551
"1992",-4.22828586551858
"1989",-3.14934395500694
"1970",-6.32455532033676
"1994",-3.96584053593467
"2004",-4.60999819233515
"2003",-3.41178928459086
"2000",-2.33284737407922
"1978",-2.61916017074175
"1977",-4.2227276222163
"1976",-1.55011520309207
"2013",-3.65148371670111
"1999",-4.81149770903839
"1968",-1.16189500386222
