"date","time","away","away_PTS","home","home_PTS","box_available","OT","notes","game_string"
"2017-01-01","6:00 pm","San Antonio Spurs","112","Atlanta Hawks","114",TRUE,"OT",NA,"2017-01-01_SAS_at_ATL"
"2017-01-01","6:00 pm","Orlando Magic","104","Indiana Pacers","117",TRUE,NA,NA,"2017-01-01_ORL_at_IND"
"2017-01-01","9:30 pm","Toronto Raptors","123","Los Angeles Lakers","114",TRUE,NA,NA,"2017-01-01_TOR_at_LAL"
"2017-01-01","6:00 pm","Detroit Pistons","107","Miami Heat","98",TRUE,NA,NA,"2017-01-01_DET_at_MIA"
"2017-01-01","7:00 pm","Portland Trail Blazers","95","Minnesota Timberwolves","89",TRUE,NA,NA,"2017-01-01_POR_at_MIN"
"2017-01-02","7:30 pm","Utah Jazz","101","Brooklyn Nets","89",TRUE,NA,NA,"2017-01-02_UTA_at_BRK"
"2017-01-02","8:00 pm","Charlotte Hornets","111","Chicago Bulls","118",TRUE,NA,NA,"2017-01-02_CHO_at_CHI"
"2017-01-02","7:00 pm","New Orleans Pelicans","82","Cleveland Cavaliers","90",TRUE,NA,NA,"2017-01-02_NOP_at_CLE"
"2017-01-02","10:30 pm","Denver Nuggets","119","Golden State Warriors","127",TRUE,NA,NA,"2017-01-02_DEN_at_GSW"
"2017-01-02","8:00 pm","Washington Wizards","91","Houston Rockets","101",TRUE,NA,NA,"2017-01-02_WAS_at_HOU"
"2017-01-02","10:30 pm","Phoenix Suns","98","Los Angeles Clippers","109",TRUE,NA,NA,"2017-01-02_PHO_at_LAC"
"2017-01-02","7:00 pm","Oklahoma City Thunder","94","Milwaukee Bucks","98",TRUE,NA,NA,"2017-01-02_OKC_at_MIL"
"2017-01-02","7:30 pm","Orlando Magic","115","New York Knicks","103",TRUE,NA,NA,"2017-01-02_ORL_at_NYK"
"2017-01-03","7:30 pm","Utah Jazz","104","Boston Celtics","115",TRUE,NA,NA,"2017-01-03_UTA_at_BOS"
"2017-01-03","8:30 pm","Washington Wizards","105","Dallas Mavericks","113",TRUE,NA,NA,"2017-01-03_WAS_at_DAL"
"2017-01-03","9:00 pm","Sacramento Kings","120","Denver Nuggets","113",TRUE,NA,NA,"2017-01-03_SAC_at_DEN"
"2017-01-03","7:30 pm","Indiana Pacers","121","Detroit Pistons","116",TRUE,NA,NA,"2017-01-03_IND_at_DET"
"2017-01-03","10:30 pm","Memphis Grizzlies","102","Los Angeles Lakers","116",TRUE,NA,NA,"2017-01-03_MEM_at_LAL"
"2017-01-03","7:00 pm","Minnesota Timberwolves","91","Philadelphia 76ers","93",TRUE,NA,NA,"2017-01-03_MIN_at_PHI"
"2017-01-03","9:00 pm","Miami Heat","90","Phoenix Suns","99",TRUE,NA,NA,"2017-01-03_MIA_at_PHO"
"2017-01-03","8:30 pm","Toronto Raptors","82","San Antonio Spurs","110",TRUE,NA,NA,"2017-01-03_TOR_at_SAS"
"2017-01-04","7:00 pm","Oklahoma City Thunder","112","Charlotte Hornets","123",TRUE,NA,NA,"2017-01-04_OKC_at_CHO"
"2017-01-04","8:00 pm","Chicago Bulls","106","Cleveland Cavaliers","94",TRUE,NA,NA,"2017-01-04_CHI_at_CLE"
"2017-01-04","10:30 pm","Portland Trail Blazers","117","Golden State Warriors","125",TRUE,NA,NA,"2017-01-04_POR_at_GSW"
"2017-01-04","10:30 pm","Memphis Grizzlies","106","Los Angeles Clippers","115",TRUE,NA,NA,"2017-01-04_MEM_at_LAC"
"2017-01-04","7:30 pm","Milwaukee Bucks","105","New York Knicks","104",TRUE,NA,NA,"2017-01-04_MIL_at_NYK"
"2017-01-04","7:00 pm","Atlanta Hawks","111","Orlando Magic","92",TRUE,NA,NA,"2017-01-04_ATL_at_ORL"
"2017-01-04","10:30 pm","Miami Heat","107","Sacramento Kings","102",TRUE,NA,NA,"2017-01-04_MIA_at_SAC"
"2017-01-05","8:30 pm","Phoenix Suns","102","Dallas Mavericks","95",TRUE,NA,NA,"2017-01-05_PHO_at_DAL"
"2017-01-05","9:00 pm","San Antonio Spurs","127","Denver Nuggets","99",TRUE,NA,NA,"2017-01-05_SAS_at_DEN"
"2017-01-05","7:30 pm","Charlotte Hornets","114","Detroit Pistons","115",TRUE,NA,NA,"2017-01-05_CHO_at_DET"
"2017-01-05","8:00 pm","Oklahoma City Thunder","116","Houston Rockets","118",TRUE,NA,NA,"2017-01-05_OKC_at_HOU"
"2017-01-05","7:00 pm","Brooklyn Nets","109","Indiana Pacers","121",TRUE,NA,NA,"2017-01-05_BRK_at_IND"
"2017-01-05","8:00 pm","Atlanta Hawks","99","New Orleans Pelicans","94",TRUE,NA,NA,"2017-01-05_ATL_at_NOP"
"2017-01-05","10:30 pm","Los Angeles Lakers","109","Portland Trail Blazers","118",TRUE,NA,NA,"2017-01-05_LAL_at_POR"
"2017-01-05","7:30 pm","Utah Jazz","93","Toronto Raptors","101",TRUE,NA,NA,"2017-01-05_UTA_at_TOR"
"2017-01-06","7:30 pm","Philadelphia 76ers","106","Boston Celtics","110",TRUE,NA,NA,"2017-01-06_PHI_at_BOS"
"2017-01-06","7:30 pm","Cleveland Cavaliers","116","Brooklyn Nets","108",TRUE,NA,NA,"2017-01-06_CLE_at_BRK"
"2017-01-06","10:30 pm","Memphis Grizzlies","128","Golden State Warriors","119",TRUE,"OT",NA,"2017-01-06_MEM_at_GSW"
"2017-01-06","10:30 pm","Miami Heat","100","Los Angeles Lakers","127",TRUE,NA,NA,"2017-01-06_MIA_at_LAL"
"2017-01-06","8:00 pm","New York Knicks","116","Milwaukee Bucks","111",TRUE,NA,NA,"2017-01-06_NYK_at_MIL"
"2017-01-06","7:00 pm","Houston Rockets","100","Orlando Magic","93",TRUE,NA,NA,"2017-01-06_HOU_at_ORL"
"2017-01-06","10:30 pm","Los Angeles Clippers","106","Sacramento Kings","98",TRUE,NA,NA,"2017-01-06_LAC_at_SAC"
"2017-01-06","7:00 pm","Minnesota Timberwolves","105","Washington Wizards","112",TRUE,NA,NA,"2017-01-06_MIN_at_WAS"
"2017-01-07","7:30 pm","New Orleans Pelicans","108","Boston Celtics","117",TRUE,NA,NA,"2017-01-07_NOP_at_BOS"
"2017-01-07","8:00 pm","Toronto Raptors","118","Chicago Bulls","123",TRUE,"OT",NA,"2017-01-07_TOR_at_CHI"
"2017-01-07","8:30 pm","Atlanta Hawks","97","Dallas Mavericks","82",TRUE,NA,NA,"2017-01-07_ATL_at_DAL"
"2017-01-07","7:00 pm","New York Knicks","109","Indiana Pacers","123",TRUE,NA,NA,"2017-01-07_NYK_at_IND"
"2017-01-07","8:00 pm","Utah Jazz","94","Minnesota Timberwolves","92",TRUE,NA,NA,"2017-01-07_UTA_at_MIN"
"2017-01-07","8:00 pm","Denver Nuggets","106","Oklahoma City Thunder","121",TRUE,NA,NA,"2017-01-07_DEN_at_OKC"
"2017-01-07","8:30 pm","Charlotte Hornets","85","San Antonio Spurs","102",TRUE,NA,NA,"2017-01-07_CHO_at_SAS"
"2017-01-08","12:00 pm","Philadelphia 76ers","105","Brooklyn Nets","95",TRUE,NA,NA,"2017-01-08_PHI_at_BRK"
