"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Klay Thompson",TRUE,"37:00",9,19,0.474,4,7,0.571,3,3,1,0,5,5,1,0,1,0,1,25,7,"2017-01-02_DEN_at_GSW","GSW"
"Draymond Green",TRUE,"36:05",5,8,0.625,1,2,0.5,4,6,0.667,3,7,10,13,0,0,5,3,15,11,"2017-01-02_DEN_at_GSW","GSW"
"Stephen Curry",TRUE,"35:03",8,18,0.444,3,9,0.333,3,3,1,0,3,3,5,0,0,3,2,22,7,"2017-01-02_DEN_at_GSW","GSW"
"Kevin Durant",TRUE,"34:27",10,19,0.526,1,4,0.25,0,0,NA,0,3,3,2,1,1,2,2,21,-4,"2017-01-02_DEN_at_GSW","GSW"
"Zaza Pachulia",TRUE,"19:26",4,8,0.5,0,0,NA,3,3,1,4,5,9,1,0,0,2,4,11,17,"2017-01-02_DEN_at_GSW","GSW"
"Andre Iguodala",FALSE,"22:12",2,4,0.5,0,1,0,0,0,NA,1,2,3,3,2,0,1,0,4,-10,"2017-01-02_DEN_at_GSW","GSW"
"Shaun Livingston",FALSE,"18:18",3,6,0.5,0,0,NA,0,1,0,2,1,3,4,1,0,0,0,6,9,"2017-01-02_DEN_at_GSW","GSW"
"Ian Clark",FALSE,"15:48",4,5,0.8,2,2,1,2,2,1,0,1,1,1,2,0,0,1,12,5,"2017-01-02_DEN_at_GSW","GSW"
"David West",FALSE,"12:42",1,4,0.25,0,0,NA,0,0,NA,1,1,2,3,0,0,0,1,2,-2,"2017-01-02_DEN_at_GSW","GSW"
"JaVale McGee",FALSE,"8:59",4,4,1,0,0,NA,1,3,0.333,1,3,4,0,1,0,0,0,9,0,"2017-01-02_DEN_at_GSW","GSW"
"James Michael McAdoo",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-02_DEN_at_GSW","GSW"
"Anderson Varejao",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-02_DEN_at_GSW","GSW"
"Kevon Looney",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-02_DEN_at_GSW","GSW"
"Kevin Durant",TRUE,"37:31",9,16,0.563,3,8,0.375,9,9,1,0,5,5,4,2,3,2,3,30,22,"2017-01-04_POR_at_GSW","GSW"
"Klay Thompson",TRUE,"37:07",5,15,0.333,1,7,0.143,3,3,1,0,3,3,1,3,2,2,3,14,3,"2017-01-04_POR_at_GSW","GSW"
"Stephen Curry",TRUE,"35:54",12,25,0.48,5,13,0.385,6,8,0.75,1,6,7,5,1,0,5,1,35,6,"2017-01-04_POR_at_GSW","GSW"
"Draymond Green",TRUE,"30:11",3,6,0.5,2,4,0.5,1,3,0.333,1,6,7,11,3,1,2,5,9,4,"2017-01-04_POR_at_GSW","GSW"
"Zaza Pachulia",TRUE,"18:49",5,7,0.714,0,0,NA,3,3,1,1,2,3,1,1,3,1,1,13,10,"2017-01-04_POR_at_GSW","GSW"
"Andre Iguodala",FALSE,"29:53",2,3,0.667,1,1,1,1,2,0.5,2,3,5,6,2,0,0,1,6,1,"2017-01-04_POR_at_GSW","GSW"
"Shaun Livingston",FALSE,"17:37",4,6,0.667,0,0,NA,1,1,1,1,3,4,1,0,0,2,0,9,1,"2017-01-04_POR_at_GSW","GSW"
"David West",FALSE,"13:34",2,2,1,0,0,NA,0,0,NA,1,3,4,1,1,0,1,2,4,0,"2017-01-04_POR_at_GSW","GSW"
"Ian Clark",FALSE,"11:32",2,5,0.4,1,3,0.333,0,0,NA,0,0,0,1,0,0,0,1,5,5,"2017-01-04_POR_at_GSW","GSW"
"Kevon Looney",FALSE,"4:08",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-3,"2017-01-04_POR_at_GSW","GSW"
"JaVale McGee",FALSE,"2:17",0,1,0,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,0,-6,"2017-01-04_POR_at_GSW","GSW"
"Patrick McCaw",FALSE,"1:26",0,0,NA,0,0,NA,0,0,NA,1,0,1,0,0,0,0,1,0,-3,"2017-01-04_POR_at_GSW","GSW"
"Damian Jones",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-04_POR_at_GSW","GSW"
"Kevin Durant",TRUE,"42:32",7,17,0.412,0,5,0,13,18,0.722,2,11,13,4,0,3,4,1,27,6,"2017-01-06_MEM_at_GSW","GSW"
"Stephen Curry",TRUE,"42:13",15,27,0.556,5,13,0.385,5,5,1,0,3,3,6,1,1,4,2,40,-10,"2017-01-06_MEM_at_GSW","GSW"
"Klay Thompson",TRUE,"41:44",7,17,0.412,2,6,0.333,1,3,0.333,3,3,6,2,0,0,0,1,17,2,"2017-01-06_MEM_at_GSW","GSW"
"Draymond Green",TRUE,"40:08",3,6,0.5,1,3,0.333,4,5,0.8,0,8,8,4,3,0,4,6,11,-7,"2017-01-06_MEM_at_GSW","GSW"
"Zaza Pachulia",TRUE,"30:07",3,4,0.75,0,0,NA,4,4,1,0,5,5,2,0,0,0,3,10,-9,"2017-01-06_MEM_at_GSW","GSW"
"Andre Iguodala",FALSE,"26:41",1,3,0.333,0,1,0,0,0,NA,2,1,3,0,0,0,0,2,2,-13,"2017-01-06_MEM_at_GSW","GSW"
"Shaun Livingston",FALSE,"15:33",3,4,0.75,0,0,NA,1,2,0.5,0,2,2,2,1,0,3,2,7,-10,"2017-01-06_MEM_at_GSW","GSW"
"David West",FALSE,"11:20",0,1,0,0,0,NA,1,2,0.5,0,4,4,3,2,1,0,2,1,2,"2017-01-06_MEM_at_GSW","GSW"
"Ian Clark",FALSE,"6:14",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1,"2017-01-06_MEM_at_GSW","GSW"
"JaVale McGee",FALSE,"5:29",2,2,1,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,4,-3,"2017-01-06_MEM_at_GSW","GSW"
"Patrick McCaw",FALSE,"2:58",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-2,"2017-01-06_MEM_at_GSW","GSW"
"Kevon Looney",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-06_MEM_at_GSW","GSW"
"Anderson Varejao",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-06_MEM_at_GSW","GSW"
"Stephen Curry",TRUE,"37:06",11,22,0.5,5,11,0.455,3,3,1,2,2,4,6,2,0,4,3,30,14,"2017-01-08_GSW_at_SAC","GSW"
"Kevin Durant",TRUE,"36:27",9,15,0.6,2,4,0.5,8,9,0.889,0,7,7,6,1,4,1,1,28,6,"2017-01-08_GSW_at_SAC","GSW"
"Klay Thompson",TRUE,"36:21",8,19,0.421,1,7,0.143,1,2,0.5,1,5,6,2,0,0,5,3,18,18,"2017-01-08_GSW_at_SAC","GSW"
"Draymond Green",TRUE,"32:16",4,9,0.444,1,4,0.25,0,0,NA,1,6,7,10,2,2,4,5,9,21,"2017-01-08_GSW_at_SAC","GSW"
"Zaza Pachulia",TRUE,"22:07",4,5,0.8,0,0,NA,2,2,1,5,2,7,2,3,0,1,5,10,15,"2017-01-08_GSW_at_SAC","GSW"
"Andre Iguodala",FALSE,"28:33",3,6,0.5,1,1,1,1,2,0.5,2,5,7,5,1,0,0,0,8,-2,"2017-01-08_GSW_at_SAC","GSW"
"Shaun Livingston",FALSE,"18:32",3,4,0.75,0,0,NA,0,0,NA,0,2,2,0,1,0,1,0,6,-2,"2017-01-08_GSW_at_SAC","GSW"
"David West",FALSE,"15:12",1,3,0.333,0,0,NA,0,0,NA,1,4,5,2,1,0,1,1,2,-8,"2017-01-08_GSW_at_SAC","GSW"
"Ian Clark",FALSE,"9:31",1,5,0.2,0,2,0,2,2,1,0,0,0,0,0,0,0,3,4,-5,"2017-01-08_GSW_at_SAC","GSW"
"JaVale McGee",FALSE,"3:55",1,1,1,0,0,NA,0,0,NA,1,0,1,0,0,0,0,1,2,-2,"2017-01-08_GSW_at_SAC","GSW"
"Kevon Looney",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-08_GSW_at_SAC","GSW"
"Patrick McCaw",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-08_GSW_at_SAC","GSW"
