# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1435443058
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# sampler_t=HMC
# int_time=6.28319
# sample_file=BOOSH-SAMP.TXT
# append_samples=0
#
lp__,accept_stat__,stepsize__,int_time__,energy__,rateA,rateB,rate_diff
-24.9814,1.53646e-111,1.25015,6.28319,29.3021,0.399165,0.451669,0.0525046
-25.3473,0.975864,0.243427,6.28319,25.9908,0.406878,0.423498,0.0166203
-25.1197,1,0.355736,6.28319,25.8841,0.414119,0.441778,0.0276592
-25.2179,0.968832,0.543907,6.28319,26.0049,0.471555,0.452455,-0.0191002
-26.1495,0.508891,0.77728,6.28319,26.3619,0.261543,0.785196,0.523653
-26.1695,1,0.437628,6.28319,26.5902,0.284131,0.798281,0.51415
-26.1695,0.630365,0.664043,6.28319,29.0424,0.284131,0.798281,0.51415
-25.7475,1,0.479558,6.28319,26.4369,0.25636,0.756715,0.500356
-25.8036,0.961649,0.724286,6.28319,26.4528,0.206938,0.681299,0.474361
-25.8036,3.75465e-30,1.0099,6.28319,26.9902,0.206938,0.681299,0.474361
-25.8237,1,0.211393,6.28319,26.2658,0.203218,0.670938,0.46772
-25.8884,0.993989,0.318569,6.28319,26.0484,0.202135,0.679001,0.476866
-25.3656,1,0.472629,6.28319,29.2849,0.220074,0.598013,0.377939
-25.1752,1,0.706771,6.28319,25.2471,0.231041,0.60676,0.375719
-25.1752,7.02466e-23,1.05293,6.28319,25.6841,0.231041,0.60676,0.375719
-25.36,0.99165,0.228397,6.28319,26.5171,0.221795,0.582215,0.360421
-25.4217,0.99385,0.33533,6.28319,25.6857,0.219806,0.571624,0.351818
-26.4648,0.760087,0.49266,6.28319,28.5169,0.211639,0.449114,0.237475
-26.585,0.96983,0.462894,6.28319,26.7137,0.213338,0.436686,0.223348
-26.0858,1,0.646694,6.28319,26.6459,0.21602,0.476775,0.260755
-26.0858,8.87726e-05,0.953373,6.28319,26.5015,0.21602,0.476775,0.260755
-25.9448,1,0.215365,6.28319,27.0011,0.20886,0.509336,0.300476
-26.228,0.979054,0.317905,6.28319,26.398,0.195299,0.509309,0.31401
-25.7308,1,0.449842,6.28319,26.2954,0.220891,0.508055,0.287164
-24.9633,1,0.659685,6.28319,25.517,0.254806,0.551936,0.29713
-24.9633,0.0834504,0.96426,6.28319,25.4416,0.254806,0.551936,0.29713
-24.6126,1,0.261778,6.28319,25.0849,0.285245,0.556652,0.271407
-24.8868,0.961976,0.382865,6.28319,25.2027,0.26166,0.550176,0.288516
-25.6626,0.437441,2.0836,6.28319,26.9823,0.486125,0.424704,-0.0614204
-25.6626,7.19163e-137,10.7777,6.28319,26.4594,0.486125,0.424704,-0.0614204
-24.7186,1,1.34515,6.28319,25.8584,0.264398,0.613953,0.349554
-25.0488,0.787572,1.60281,6.28319,25.1905,0.512077,0.500796,-0.0112813
-25.0488,0.616045,1.28531,6.28319,26.7327,0.512077,0.500796,-0.0112813
-25.325,1,0.657954,6.28319,26.3204,0.229366,0.553174,0.323807
-24.3843,1,1.10576,6.28319,26.1557,0.457546,0.546238,0.088692
-24.4687,0.948386,1.96277,6.28319,24.5227,0.319234,0.533991,0.214757
-24.4687,1.2827e-09,3.05838,6.28319,25.6144,0.319234,0.533991,0.214757
-24.141,1,0.242268,6.28319,25.6574,0.432094,0.630856,0.198762
-24.2825,0.993177,0.453194,6.28319,24.4087,0.352045,0.676936,0.324891
-24.1912,1,0.837857,6.28319,24.9833,0.423409,0.561754,0.138344
-24.1912,0.206063,1.5882,6.28319,26.5972,0.423409,0.561754,0.138344
-24.1678,1,0.249532,6.28319,24.322,0.352243,0.571323,0.21908
-24.1375,1,0.476988,6.28319,24.7958,0.42658,0.637982,0.211402
-25.9829,0.790736,0.907764,6.28319,26.972,0.253845,0.770116,0.516272
-24.5597,1,0.901612,6.28319,25.9199,0.500939,0.645906,0.144967
-24.5597,0.0528182,1.69978,6.28319,26.8692,0.500939,0.645906,0.144967
-24.5284,1,0.180079,6.28319,24.6021,0.283414,0.625759,0.342345
-24.4006,1,0.341296,6.28319,25.2383,0.481235,0.581349,0.100114
-24.8643,0.982105,0.640877,6.28319,25.2717,0.260902,0.557746,0.296844
-24.8643,0.637936,1.13041,6.28319,26.1513,0.260902,0.557746,0.296844
-24.5389,1,0.720451,6.28319,25.0884,0.493725,0.563846,0.0701215
-25.0077,0.772297,1.32586,6.28319,25.5864,0.30737,0.737331,0.429961
-24.6619,1,1.25326,6.28319,26.5339,0.454861,0.714632,0.259771
-24.6619,0.00014585,2.27318,6.28319,26.4111,0.454861,0.714632,0.259771
-24.5991,1,0.240328,6.28319,24.6626,0.325497,0.707437,0.38194
-24.5419,1,0.437749,6.28319,24.8498,0.457159,0.698844,0.241685
-24.4196,1,0.789407,6.28319,25.1095,0.325408,0.536772,0.211364
-25.7632,0.524973,1.40963,6.28319,27.3854,0.363245,0.396598,0.0333529
-25.357,1,0.678804,6.28319,25.7566,0.41602,0.423904,0.00788334
-24.4392,1,1.2021,6.28319,25.6311,0.36507,0.511566,0.146496
-24.6376,1,2.10892,6.28319,24.7689,0.491148,0.681843,0.190695
-24.6376,3.02665e-12,3.66613,6.28319,25.0503,0.491148,0.681843,0.190695
-24.577,1,0.44608,6.28319,24.7162,0.292599,0.670141,0.377542
-24.4289,1,0.778151,6.28319,25.2814,0.488664,0.62713,0.138467
-24.4289,0.314683,1.34548,6.28319,26.4004,0.488664,0.62713,0.138467
-24.428,1,0.391355,6.28319,24.6043,0.293927,0.613377,0.31945
-24.633,0.981606,0.674438,6.28319,25.1001,0.491524,0.538497,0.046973
-24.8237,0.92491,1.09979,6.28319,24.9854,0.308575,0.49303,0.184455
-24.8082,1,1.54222,6.28319,24.8435,0.472378,0.494085,0.0217069
-24.8082,1.52934e-07,2.59807,6.28319,25.1979,0.472378,0.494085,0.0217069
-24.5555,1,0.359149,6.28319,25.6111,0.289695,0.561217,0.271521
-24.2967,1,0.606742,6.28319,27.7833,0.356628,0.53731,0.180682
-24.5162,0.948221,1.01721,6.28319,24.6752,0.420044,0.503174,0.0831298
-24.4617,1,1.49186,6.28319,25.2181,0.334606,0.522156,0.18755
-24.4617,3.94412e-05,2.46686,6.28319,28.4052,0.334606,0.522156,0.18755
-24.5046,0.998065,0.365466,6.28319,24.8456,0.435916,0.51081,0.0748945
-24.9037,0.96635,0.603061,6.28319,24.9839,0.34622,0.464739,0.118519
-24.318,1,0.916627,6.28319,25.5476,0.459453,0.655933,0.196479
-24.7937,0.864209,1.49964,6.28319,24.938,0.267924,0.555172,0.287248
-24.7937,1.26353e-280,16.8535,6.28319,24.9983,0.267924,0.555172,0.287248
-24.7937,0.00609171,2.64729,6.28319,26.0826,0.267924,0.555172,0.287248
-24.4827,1,0.254522,6.28319,25.0062,0.49708,0.606903,0.109823
-24.8347,0.994931,0.33577,6.28319,25.5877,0.453075,0.732526,0.279451
-24.201,1,0.508946,6.28319,24.9129,0.328669,0.608848,0.280179
-24.4356,0.977113,0.856998,6.28319,24.5785,0.390489,0.706994,0.316505
-24.4476,0.996502,1.41835,6.28319,24.919,0.356606,0.703533,0.346927
-24.4476,0.0321959,2.57096,6.28319,25.6647,0.356606,0.703533,0.346927
-24.3696,1,0.225622,6.28319,24.8641,0.305288,0.638418,0.33313
-24.2105,1,0.422205,6.28319,24.6771,0.354106,0.663136,0.30903
-24.4664,0.97812,0.797339,6.28319,24.7082,0.318156,0.535537,0.217381
-24.3598,1,1.40958,6.28319,24.8508,0.302737,0.615081,0.312344
-24.3598,0.0302575,2.66657,6.28319,24.6163,0.302737,0.615081,0.312344
-24.2203,1,0.244188,6.28319,24.4392,0.453764,0.595764,0.142
-24.1979,1,0.465718,6.28319,24.4878,0.450801,0.609365,0.158564
-25.0474,0.915405,0.882727,6.28319,25.1057,0.245386,0.65834,0.412954
-25.7387,0.851322,1.28234,6.28319,26.4194,0.577647,0.708078,0.130431
-24.8576,1,1.52699,6.28319,26.3436,0.521859,0.545028,0.0231692
-24.3481,1,2.83731,6.28319,24.4461,0.384929,0.695651,0.310722
-24.3481,4.49748e-11,5.22173,6.28319,24.7417,0.384929,0.695651,0.310722
-24.5707,0.992798,0.494825,6.28319,25.0518,0.3014,0.682014,0.380614
-24.5707,0.751264,0.896258,6.28319,27.7733,0.3014,0.682014,0.380614
-24.2689,1,0.796756,6.28319,24.574,0.46083,0.586643,0.125813
-24.0744,1,1.45383,6.28319,24.2477,0.396617,0.590952,0.194336
-24.0744,0.112955,2.62625,6.28319,24.2866,0.396617,0.590952,0.194336
-24.3997,0.993474,0.380661,6.28319,24.478,0.436598,0.526941,0.090343
-25.8102,0.921433,0.676223,6.28319,26.1232,0.199915,0.571111,0.371196
-28.0261,0.79313,0.9735,6.28319,28.1535,0.705773,0.558786,-0.146987
-31.3597,0.726658,0.977386,6.28319,32.6495,0.0893491,0.415242,0.325893
-27.9788,1,0.817932,6.28319,31.1924,0.691222,0.713926,0.0227044
-25.3387,1,1.44233,6.28319,27.4835,0.238176,0.52435,0.286174
-24.4421,1,2.5198,6.28319,27.4396,0.491684,0.605952,0.114268
-24.4421,4.33243e-06,4.36242,6.28319,24.541,0.491684,0.605952,0.114268
-24.2095,1,0.52867,6.28319,24.4644,0.331902,0.6361,0.304198
-26.1016,0.817727,0.918575,6.28319,28.1815,0.61923,0.660791,0.0415611
-29.043,0.744065,0.98341,6.28319,29.2019,0.105259,0.639779,0.53452
-25.7865,1,0.869075,6.28319,29.6244,0.532185,0.446103,-0.0860817
-24.4534,1,1.4848,6.28319,25.5369,0.361283,0.705605,0.344322
-24.4534,0.000904125,2.51596,6.28319,25.9482,0.361283,0.705605,0.344322
-25.2526,0.988469,0.337733,6.28319,25.9702,0.352681,0.770642,0.417961
-25.1805,1,0.557624,6.28319,26.4243,0.549735,0.679449,0.129714
-25.2446,0.991144,0.940464,6.28319,26.0893,0.259167,0.716703,0.457537
-24.9262,1,1.53987,6.28319,25.6932,0.249013,0.590503,0.34149
-24.9262,0.293379,2.55838,6.28319,25.1624,0.249013,0.590503,0.34149
-24.3622,1,0.75283,6.28319,25.0441,0.463561,0.558743,0.0951822
-24.1535,1,1.24794,6.28319,24.3917,0.350645,0.578474,0.227829
-24.1535,0.0105028,2.05402,6.28319,27.5208,0.350645,0.578474,0.227829
-26.9364,0.961113,0.315772,6.28319,29.3885,0.269657,0.362912,0.0932543
-24.1982,1,0.475053,6.28319,27.1416,0.448652,0.627158,0.178505
-24.6474,0.962906,0.778916,6.28319,24.7422,0.30607,0.518546,0.212475
-24.44,1,1.16314,6.28319,24.7446,0.457632,0.683395,0.225763
-25.4861,0.57725,1.88335,6.28319,26.0234,0.578152,0.552118,-0.0260337
-24.8748,1,1.14069,6.28319,27.873,0.441349,0.740263,0.298914
-25.9415,0.645255,1.83557,6.28319,26.2575,0.503091,0.41414,-0.0889511
-25.3166,1,1.30669,6.28319,26.0553,0.2592,0.724116,0.464915
-24.813,1,2.0881,6.28319,25.1267,0.288727,0.702351,0.413624
-24.813,0.0172963,3.3173,6.28319,25.3596,0.288727,0.702351,0.413624
-24.1895,1,0.57993,6.28319,25.0907,0.416389,0.662608,0.246218
-24.1267,1,0.923172,6.28319,24.4154,0.413139,0.646183,0.233044
-25.4517,0.684654,1.46129,6.28319,25.4518,0.26986,0.46296,0.193099
-26.7682,0.82789,1.14946,6.28319,28.2546,0.647581,0.532509,-0.115072
-26.3539,1,1.24023,6.28319,27.7147,0.177169,0.568966,0.391798
-26.3539,0.211579,1.94373,6.28319,29.2097,0.177169,0.568966,0.391798
-25.1529,1,0.551026,6.28319,28.4078,0.263164,0.50354,0.240375
-26.9319,0.845484,0.863032,6.28319,27.4144,0.48499,0.834005,0.349015
-28.129,0.885453,0.966488,6.28319,28.9747,0.452584,0.292239,-0.160344
-26.698,1,1.17677,6.28319,28.3162,0.410855,0.836871,0.426016
-25.0662,1,1.82141,6.28319,27.3379,0.486055,0.735978,0.249923
-25.0662,0.00768174,2.80565,6.28319,25.702,0.486055,0.735978,0.249923
-24.8858,1,0.539767,6.28319,25.4301,0.282984,0.51141,0.228426
-24.7289,1,0.832902,6.28319,25.1812,0.523368,0.632163,0.108795
-25.3534,0.884207,1.27927,6.28319,25.3688,0.220612,0.601151,0.38054
-26.5466,0.683135,1.54108,6.28319,27.4095,0.21304,0.440176,0.227136
-26.5475,0.997138,1.22736,6.28319,27.9316,0.573069,0.777475,0.204406
-24.951,1,1.85775,6.28319,26.1679,0.252855,0.659387,0.406531
-24.951,0.0230688,2.81627,6.28319,25.0937,0.252855,0.659387,0.406531
-26.3179,0.940965,0.592469,6.28319,26.7174,0.596225,0.738363,0.142138
-25.8469,1,0.798942,6.28319,26.7019,0.199204,0.564353,0.365148
-27.2417,0.779383,1.20855,6.28319,29.5203,0.179808,0.762793,0.582985
-27.2417,0.932748,1.17435,6.28319,33.6332,0.179808,0.762793,0.582985
-24.6551,1,1.54587,6.28319,26.8487,0.453398,0.500348,0.0469499
-24.361,1,2.31675,6.28319,24.7978,0.428968,0.688938,0.25997
-24.361,5.77834e-06,3.4586,6.28319,24.8166,0.428968,0.688938,0.25997
-24.2258,1,0.73179,6.28319,24.5056,0.324651,0.622043,0.297392
-24.9914,0.882763,1.09416,6.28319,25.3325,0.465118,0.469911,0.00479305
-24.3982,1,1.29947,6.28319,24.8867,0.357106,0.697242,0.340137
