"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-C","680","15111","INTRO QUANTITATV BIOL/MEASURE","Dragnea,Bogdan G","14","14","3.893","3.698","78.6","100","0","0","0","0","0","9","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-C","683","33579","ADV NUCLEIC ACID BIOCHEMISTRY","Drummond,James T.","2","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-C","689","12091","QUANTITATV&CHEM BIOL JRNL CLUB","Giedroc,David Peter","0","9","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-C","810","2984","RESEARCH ANALYTICAL CHEMISTRY","Wilson,Rebecca","1","33","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-C","820","8072","RESEARCH: MATERIALS CHEMISTRY","Flood,Amar Hugh","1","13","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-C","830","7439","RESEARCH INORGANIC CHEMISTRY","Flood,Amar Hugh","2","21","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-C","840","2985","RESEARCH ORGANIC CHEMISTRY","Flood,Amar Hugh","0","18","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-C","860","2986","RESEARCH PHYSICAL CHEMISTRY","Flood,Amar Hugh","0","17","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-C","880","2987","RESEARCH BIOLOGICAL CHEMISTRY","Flood,Amar Hugh","0","11","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-G","201","11378","SERV LEARNING: COMM OUTREACH","Burlingham,Benjamin Todd","9","9","4","3.334","22.2","100","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-G","201","7322","SERV LEARNING: COMM OUTREACH","Clark,James Stanton","4","5","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-G","410","9914","CHEMICAL RESEARCH CAPSTONE","Reck,Cathrine E.","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-G","499","6605","INTERNSHIP CHEMICAL INSTRUCTN","Reck,Cathrine E.","5","5","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-G","901","2988","ADVANCED RESEARCH","Flood,Amar Hugh","10","82","3.84","3.579","100","90","10","0","0","72","1","6","2","0","1","0","0","0","0","0","0","0","0","0","0","0","72","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-M","501","33581","FUNDAMENTALS OF MATERIALS I","Skrabalak,Sara","12","12","3.308","3.431","91.7","33.3","66.7","0","0","0","0","2","2","2","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-M","608","33582","SEMINAR: MATERIALS CHEMISTRY","Douglas,Trevor","10","11","3.84","3.565","100","90","10","0","0","1","0","6","3","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-M","800","9144","MATERIALS CHEMISTRY RESRCH SEM","Flood,Amar Hugh","0","5","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-N","330","7956","INTERMEDIATE INORGANIC CHEM","Porter,Meghan Rae","105","115","2.953","3.574","39.6","32.4","41.9","17.1","6.7","12","4","15","15","16","18","10","10","5","3","2","2","3","2","5","4","1","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-N","800","7158","INORGANIC CHEM RESEARCH SEMINR","Caulton,Kenneth G.","9","10","4","3.447","100","100","0","0","0","1","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-P","800","7159","PHYSICAL CHEM RESEARCH SEM","Raghavachari,Krishnan","6","6","4","3.648","100","100","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-R","340","6996","SURVEY OF ORGANIC CHEMISTRY","Cooley,Chad","66","70","2.732","3.152","0","30.3","24.2","37.9","3","7","7","8","5","2","8","6","13","9","3","0","2","0","3","4","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-R","800","7160","ORGANIC CHEMISTRY RESEARCH SEM","Cook,Silas P","0","13","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-S","117","2989","PRIN CHEM & BIOCHEM I, HONORS","Li,Liang-shi","32","36","3.625","3.779","52.9","62.5","37.5","0","0","4","2","13","5","8","1","3","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-S","342","7330","ORGANIC CHEM 2 LECTURES-HONORS","Cook,Silas P","11","11","3.727","3.834","18.2","72.7","27.3","0","0","0","0","7","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","CHEM","CHEM-S","343","6908","ORGANIC CHEM 1 LAB - HONORS","Brown,Laura Caroline","63","73","3.362","3.49","73.5","54","34.9","11.1","0","10","1","15","18","7","11","4","2","4","1","0","0","0","0","5","5","0","0","0","0","0","0","0","0","01-22-2016",


