"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Derrick Favors",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-04-01_MIN_at_UTA","UTA"
"Shelvin Mack",TRUE,"35:14",3,9,0.333,0,2,0,3,4,0.75,1,6,7,5,0,2,1,1,9,10,"2016-04-03_UTA_at_PHO","UTA"
"Rodney Hood",TRUE,"35:01",6,16,0.375,6,12,0.5,0,0,NA,0,2,2,7,2,2,2,3,18,4,"2016-04-03_UTA_at_PHO","UTA"
"Gordon Hayward",TRUE,"34:47",8,16,0.5,1,5,0.2,5,5,1,0,5,5,5,1,1,2,5,22,18,"2016-04-03_UTA_at_PHO","UTA"
"Derrick Favors",TRUE,"28:11",8,11,0.727,0,0,NA,1,2,0.5,0,2,2,3,2,0,1,3,17,4,"2016-04-03_UTA_at_PHO","UTA"
"Rudy Gobert",TRUE,"24:29",5,8,0.625,0,0,NA,2,2,1,1,4,5,0,2,2,1,4,12,11,"2016-04-03_UTA_at_PHO","UTA"
"Trey Lyles",FALSE,"23:55",5,10,0.5,2,3,0.667,1,2,0.5,0,3,3,1,0,0,2,1,13,2,"2016-04-03_UTA_at_PHO","UTA"
"Chris Johnson",FALSE,"17:46",2,3,0.667,1,2,0.5,0,0,NA,0,2,2,0,0,1,0,0,5,12,"2016-04-03_UTA_at_PHO","UTA"
"Trevor Booker",FALSE,"16:40",2,4,0.5,0,0,NA,0,0,NA,2,3,5,2,0,2,0,1,4,20,"2016-04-03_UTA_at_PHO","UTA"
"Raul Neto",FALSE,"12:46",0,2,0,0,2,0,1,2,0.5,0,2,2,3,2,0,1,2,1,5,"2016-04-03_UTA_at_PHO","UTA"
"Joe Ingles",FALSE,"9:48",0,2,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,-7,"2016-04-03_UTA_at_PHO","UTA"
"Jeff Withey",FALSE,"1:23",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-4,"2016-04-03_UTA_at_PHO","UTA"
