"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Carmelo Anthony",TRUE,"36:46",8,18,0.444,1,3,0.333,3,3,1,3,4,7,3,0,0,1,1,20,-17,"2016-01-01_NYK_at_CHI","NYK"
"Jose Calderon",TRUE,"34:35",7,9,0.778,3,3,1,1,1,1,1,3,4,4,1,0,1,4,18,-17,"2016-01-01_NYK_at_CHI","NYK"
"Arron Afflalo",TRUE,"29:03",2,9,0.222,0,3,0,0,0,NA,0,1,1,0,0,0,2,2,4,-34,"2016-01-01_NYK_at_CHI","NYK"
"Kristaps Porzingis",TRUE,"28:19",4,14,0.286,1,3,0.333,0,0,NA,0,9,9,1,1,1,1,2,9,-11,"2016-01-01_NYK_at_CHI","NYK"
"Robin Lopez",TRUE,"21:35",2,5,0.4,0,0,NA,0,0,NA,3,3,6,2,0,2,2,4,4,-5,"2016-01-01_NYK_at_CHI","NYK"
"Lance Thomas",FALSE,"26:30",3,9,0.333,0,2,0,5,5,1,0,0,0,1,0,0,1,3,11,4,"2016-01-01_NYK_at_CHI","NYK"
"Derrick Williams",FALSE,"17:00",1,4,0.25,0,2,0,4,6,0.667,0,1,1,2,0,0,1,0,6,-17,"2016-01-01_NYK_at_CHI","NYK"
"Langston Galloway",FALSE,"15:14",1,2,0.5,1,1,1,0,0,NA,0,2,2,1,0,0,1,3,3,-14,"2016-01-01_NYK_at_CHI","NYK"
"Kevin Seraphin",FALSE,"12:11",2,7,0.286,0,1,0,0,2,0,3,1,4,1,1,1,0,3,4,-13,"2016-01-01_NYK_at_CHI","NYK"
"Kyle O'Quinn",FALSE,"11:41",1,3,0.333,0,0,NA,0,0,NA,0,5,5,1,0,2,1,3,2,-1,"2016-01-01_NYK_at_CHI","NYK"
"Jerian Grant",FALSE,"3:33",0,3,0,0,1,0,0,0,NA,1,1,2,0,0,1,0,0,0,-5,"2016-01-01_NYK_at_CHI","NYK"
"Sasha Vujacic",FALSE,"3:33",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,-5,"2016-01-01_NYK_at_CHI","NYK"
"Arron Afflalo",TRUE,"37:05",14,17,0.824,7,8,0.875,3,4,0.75,0,2,2,2,0,1,1,2,38,14,"2016-01-03_ATL_at_NYK","NYK"
"Carmelo Anthony",TRUE,"35:29",4,10,0.4,0,3,0,3,4,0.75,5,4,9,5,3,0,1,2,11,4,"2016-01-03_ATL_at_NYK","NYK"
"Kristaps Porzingis",TRUE,"30:24",5,13,0.385,2,3,0.667,2,2,1,2,5,7,0,0,1,2,3,14,13,"2016-01-03_ATL_at_NYK","NYK"
"Robin Lopez",TRUE,"29:31",7,10,0.7,0,0,NA,2,2,1,5,6,11,5,0,3,5,4,16,9,"2016-01-03_ATL_at_NYK","NYK"
"Jose Calderon",TRUE,"26:18",4,8,0.5,1,2,0.5,0,0,NA,0,3,3,2,2,1,3,0,9,9,"2016-01-03_ATL_at_NYK","NYK"
"Derrick Williams",FALSE,"20:53",3,7,0.429,0,2,0,0,0,NA,0,5,5,3,0,0,0,2,6,12,"2016-01-03_ATL_at_NYK","NYK"
"Langston Galloway",FALSE,"20:08",3,7,0.429,1,3,0.333,0,0,NA,0,2,2,0,0,0,0,1,7,2,"2016-01-03_ATL_at_NYK","NYK"
"Lance Thomas",FALSE,"19:07",0,5,0,0,2,0,2,2,1,0,3,3,1,0,0,1,4,2,1,"2016-01-03_ATL_at_NYK","NYK"
"Jerian Grant",FALSE,"18:11",4,10,0.4,0,3,0,0,0,NA,0,3,3,7,2,1,1,0,8,8,"2016-01-03_ATL_at_NYK","NYK"
"Kyle O'Quinn",FALSE,"2:54",0,1,0,0,0,NA,0,0,NA,0,1,1,2,1,0,2,1,0,-2,"2016-01-03_ATL_at_NYK","NYK"
"Sasha Vujacic",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-03_ATL_at_NYK","NYK"
"Kevin Seraphin",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-03_ATL_at_NYK","NYK"
