"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Kevin Durant",TRUE,"35:20",8,13,0.615,3,3,1,10,11,0.909,0,11,11,2,0,4,3,3,29,19,"2016-01-02_OKC_at_CHO","OKC"
"Serge Ibaka",TRUE,"30:59",2,8,0.25,0,2,0,10,10,1,1,4,5,0,0,4,3,3,14,21,"2016-01-02_OKC_at_CHO","OKC"
"Russell Westbrook",TRUE,"30:47",4,15,0.267,1,3,0.333,7,8,0.875,1,5,6,7,1,0,2,2,16,16,"2016-01-02_OKC_at_CHO","OKC"
"Steven Adams",TRUE,"17:12",4,4,1,0,0,NA,0,0,NA,2,7,9,1,0,3,2,3,8,10,"2016-01-02_OKC_at_CHO","OKC"
"Andre Roberson",TRUE,"14:43",0,1,0,0,1,0,0,0,NA,1,3,4,1,0,1,0,4,0,10,"2016-01-02_OKC_at_CHO","OKC"
"Dion Waiters",FALSE,"24:54",4,10,0.4,1,3,0.333,1,3,0.333,2,2,4,5,0,0,1,1,10,-1,"2016-01-02_OKC_at_CHO","OKC"
"Enes Kanter",FALSE,"24:04",6,11,0.545,0,0,NA,0,0,NA,1,3,4,0,0,3,0,2,12,1,"2016-01-02_OKC_at_CHO","OKC"
"Cameron Payne",FALSE,"19:46",3,5,0.6,0,1,0,1,2,0.5,0,3,3,3,1,0,0,4,7,3,"2016-01-02_OKC_at_CHO","OKC"
"Anthony Morrow",FALSE,"18:26",4,9,0.444,4,8,0.5,0,1,0,0,3,3,0,0,0,0,3,12,9,"2016-01-02_OKC_at_CHO","OKC"
"Kyle Singler",FALSE,"14:37",0,2,0,0,2,0,1,2,0.5,1,0,1,1,0,0,1,1,1,10,"2016-01-02_OKC_at_CHO","OKC"
"Nick Collison",FALSE,"6:36",0,0,NA,0,0,NA,0,0,NA,1,1,2,0,0,0,0,1,0,-2,"2016-01-02_OKC_at_CHO","OKC"
"Mitch McGary",FALSE,"2:36",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,-1,"2016-01-02_OKC_at_CHO","OKC"
"D.J. Augustin",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-02_OKC_at_CHO","OKC"
"Russell Westbrook",TRUE,"41:09",6,23,0.261,2,9,0.222,3,3,1,1,7,8,15,1,0,7,4,17,5,"2016-01-04_SAC_at_OKC","OKC"
"Serge Ibaka",TRUE,"40:00",10,17,0.588,3,5,0.6,2,4,0.5,1,6,7,1,1,5,3,3,25,-3,"2016-01-04_SAC_at_OKC","OKC"
"Anthony Morrow",TRUE,"33:51",8,11,0.727,3,6,0.5,1,2,0.5,0,1,1,0,1,0,0,3,20,2,"2016-01-04_SAC_at_OKC","OKC"
"Steven Adams",TRUE,"26:46",5,6,0.833,0,0,NA,5,6,0.833,6,4,10,2,0,0,1,5,15,9,"2016-01-04_SAC_at_OKC","OKC"
"Andre Roberson",TRUE,"23:29",1,3,0.333,0,1,0,0,0,NA,1,2,3,2,1,2,1,1,2,8,"2016-01-04_SAC_at_OKC","OKC"
