"date","time","away","away_PTS","home","home_PTS","box_available","OT","notes","game_string"
"2016-01-01","8:00 pm","New York Knicks","81","Chicago Bulls","108",TRUE,NA,NA,"2016-01-01_NYK_at_CHI"
"2016-01-01","10:30 pm","Philadelphia 76ers","84","Los Angeles Lakers","93",TRUE,NA,NA,"2016-01-01_PHI_at_LAL"
"2016-01-01","7:30 pm","Dallas Mavericks","82","Miami Heat","106",TRUE,NA,NA,"2016-01-01_DAL_at_MIA"
"2016-01-01","7:30 pm","Charlotte Hornets","94","Toronto Raptors","104",TRUE,NA,NA,"2016-01-01_CHO_at_TOR"
"2016-01-01","7:00 pm","Orlando Magic","91","Washington Wizards","103",TRUE,NA,NA,"2016-01-01_ORL_at_WAS"
"2016-01-02","3:00 pm","Brooklyn Nets","100","Boston Celtics","97",TRUE,NA,NA,"2016-01-02_BRK_at_BOS"
"2016-01-02","7:00 pm","Oklahoma City Thunder","109","Charlotte Hornets","90",TRUE,NA,NA,"2016-01-02_OKC_at_CHO"
"2016-01-02","7:30 pm","Orlando Magic","79","Cleveland Cavaliers","104",TRUE,NA,NA,"2016-01-02_ORL_at_CLE"
"2016-01-02","8:30 pm","New Orleans Pelicans","105","Dallas Mavericks","98",TRUE,NA,NA,"2016-01-02_NOP_at_DAL"
"2016-01-02","10:30 pm","Denver Nuggets","108","Golden State Warriors","111",TRUE,"OT",NA,"2016-01-02_DEN_at_GSW"
"2016-01-02","7:00 pm","Detroit Pistons","82","Indiana Pacers","94",TRUE,NA,NA,"2016-01-02_DET_at_IND"
"2016-01-02","10:30 pm","Philadelphia 76ers","99","Los Angeles Clippers","130",TRUE,NA,NA,"2016-01-02_PHI_at_LAC"
"2016-01-02","8:00 pm","Milwaukee Bucks","95","Minnesota Timberwolves","85",TRUE,NA,NA,"2016-01-02_MIL_at_MIN"
"2016-01-02","5:00 pm","Phoenix Suns","119","Sacramento Kings","142",TRUE,NA,NA,"2016-01-02_PHO_at_SAC"
"2016-01-02","8:30 pm","Houston Rockets","103","San Antonio Spurs","121",TRUE,NA,NA,"2016-01-02_HOU_at_SAS"
"2016-01-02","9:00 pm","Memphis Grizzlies","87","Utah Jazz","92",TRUE,"OT",NA,"2016-01-02_MEM_at_UTA"
"2016-01-03","9:00 pm","Portland Trail Blazers","112","Denver Nuggets","106",TRUE,NA,NA,"2016-01-03_POR_at_DEN"
"2016-01-03","9:30 pm","Phoenix Suns","77","Los Angeles Lakers","97",TRUE,NA,NA,"2016-01-03_PHO_at_LAL"
"2016-01-03","3:30 pm","Atlanta Hawks","97","New York Knicks","111",TRUE,NA,NA,"2016-01-03_ATL_at_NYK"
"2016-01-03","3:30 pm","Chicago Bulls","115","Toronto Raptors","113",TRUE,NA,NA,"2016-01-03_CHI_at_TOR"
"2016-01-03","6:00 pm","Miami Heat","97","Washington Wizards","75",TRUE,NA,NA,"2016-01-03_MIA_at_WAS"
"2016-01-04","7:30 pm","Boston Celtics","103","Brooklyn Nets","94",TRUE,NA,NA,"2016-01-04_BOS_at_BRK"
"2016-01-04","7:00 pm","Toronto Raptors","100","Cleveland Cavaliers","122",TRUE,NA,NA,"2016-01-04_TOR_at_CLE"
"2016-01-04","7:30 pm","Orlando Magic","89","Detroit Pistons","115",TRUE,NA,NA,"2016-01-04_ORL_at_DET"
"2016-01-04","10:30 pm","Charlotte Hornets","101","Golden State Warriors","111",TRUE,NA,NA,"2016-01-04_CHO_at_GSW"
"2016-01-04","7:30 pm","Indiana Pacers","100","Miami Heat","103",TRUE,"OT",NA,"2016-01-04_IND_at_MIA"
"2016-01-04","8:00 pm","San Antonio Spurs","123","Milwaukee Bucks","98",TRUE,NA,NA,"2016-01-04_SAS_at_MIL"
"2016-01-04","8:00 pm","Sacramento Kings","116","Oklahoma City Thunder","104",TRUE,NA,NA,"2016-01-04_SAC_at_OKC"
"2016-01-04","7:00 pm","Minnesota Timberwolves","99","Philadelphia 76ers","109",TRUE,NA,NA,"2016-01-04_MIN_at_PHI"
"2016-01-04","10:00 pm","Memphis Grizzlies","91","Portland Trail Blazers","78",TRUE,NA,NA,"2016-01-04_MEM_at_POR"
"2016-01-04","9:00 pm","Houston Rockets","93","Utah Jazz","91",TRUE,NA,NA,"2016-01-04_HOU_at_UTA"
"2016-01-05","8:00 pm","New York Knicks","107","Atlanta Hawks","101",TRUE,NA,NA,"2016-01-05_NYK_at_ATL"
"2016-01-05","8:00 pm","Milwaukee Bucks","106","Chicago Bulls","117",TRUE,NA,NA,"2016-01-05_MIL_at_CHI"
"2016-01-05","8:30 pm","Sacramento Kings","116","Dallas Mavericks","117",TRUE,"2OT",NA,"2016-01-05_SAC_at_DAL"
"2016-01-05","10:30 pm","Golden State Warriors","109","Los Angeles Lakers","88",TRUE,NA,NA,"2016-01-05_GSW_at_LAL"
"2016-01-06","7:30 pm","Detroit Pistons","99","Boston Celtics","94",TRUE,NA,NA,"2016-01-06_DET_at_BOS"
"2016-01-06","7:30 pm","Toronto Raptors","91","Brooklyn Nets","74",TRUE,NA,NA,"2016-01-06_TOR_at_BRK"
"2016-01-06","7:00 pm","New York Knicks","98","Miami Heat","90",TRUE,NA,NA,"2016-01-06_NYK_at_MIA"
"2016-01-06","8:00 pm","Denver Nuggets","78","Minnesota Timberwolves","74",TRUE,NA,NA,"2016-01-06_DEN_at_MIN"
"2016-01-06","8:00 pm","Dallas Mavericks","100","New Orleans Pelicans","91",TRUE,NA,NA,"2016-01-06_DAL_at_NOP"
"2016-01-06","9:30 pm","Memphis Grizzlies","94","Oklahoma City Thunder","112",TRUE,NA,NA,"2016-01-06_MEM_at_OKC"
"2016-01-06","7:00 pm","Indiana Pacers","95","Orlando Magic","86",TRUE,NA,NA,"2016-01-06_IND_at_ORL"
"2016-01-06","9:00 pm","Charlotte Hornets","102","Phoenix Suns","111",TRUE,NA,NA,"2016-01-06_CHO_at_PHO"
"2016-01-06","10:00 pm","Los Angeles Clippers","109","Portland Trail Blazers","98",TRUE,NA,NA,"2016-01-06_LAC_at_POR"
"2016-01-06","8:30 pm","Utah Jazz","98","San Antonio Spurs","123",TRUE,NA,NA,"2016-01-06_UTA_at_SAS"
"2016-01-06","7:00 pm","Cleveland Cavaliers","121","Washington Wizards","115",TRUE,NA,NA,"2016-01-06_CLE_at_WAS"
"2016-01-07","8:00 pm","Boston Celtics","92","Chicago Bulls","101",TRUE,NA,NA,"2016-01-07_BOS_at_CHI"
"2016-01-07","8:00 pm","Utah Jazz","94","Houston Rockets","103",TRUE,NA,NA,"2016-01-07_UTA_at_HOU"
"2016-01-07","7:00 pm","Atlanta Hawks","126","Philadelphia 76ers","98",TRUE,NA,NA,"2016-01-07_ATL_at_PHI"
"2016-01-07","10:30 pm","Los Angeles Lakers","115","Sacramento Kings","118",TRUE,NA,NA,"2016-01-07_LAL_at_SAC"
"2016-01-08","7:30 pm","Orlando Magic","83","Brooklyn Nets","77",TRUE,NA,NA,"2016-01-08_ORL_at_BRK"
"2016-01-08","10:30 pm","Oklahoma City Thunder","117","Los Angeles Lakers","113",TRUE,NA,NA,"2016-01-08_OKC_at_LAL"
"2016-01-08","8:00 pm","Denver Nuggets","84","Memphis Grizzlies","91",TRUE,NA,NA,"2016-01-08_DEN_at_MEM"
