msa_cd	year	lhpi_real	lpci_real
10740	2000	4.519839	2.48252
10740	2001	4.513635	2.513818
10740	2002	4.522713	2.487776
10740	2003	4.551634	2.492196
10740	2004	4.614094	2.531312
10740	2005	4.710406	2.55366
10740	2006	4.819604	2.569609
10740	2007	4.861396	2.577418
10740	2008	4.808112	2.573579
10740	2009	4.762899	2.544509
10740	2010	4.70753	2.530638
10740	2011	4.622021	2.522436
10780	1975	4.729956	1.913356
10780	1976	4.722878	1.965629
10780	1977	4.723038	1.9782
10780	1978	4.719934	2.022714
10780	1979	4.681059	2.007154
10780	1980	4.60517	2.004314
10780	1981	4.548054	2.01446
10780	1982	4.523449	2.026407
10780	1983	4.528941	2.064028
10780	1984	4.525294	2.086713
10780	1985	4.531604	2.113266
10780	1986	4.720556	2.127442
10780	1987	4.660992	2.131888
10780	1988	4.612195	2.155735
10780	1989	4.546562	2.195696
10780	1990	4.481381	2.210966
10780	1991	4.46323	2.207842
10780	1992	4.471238	2.229141
10780	1993	4.474112	2.29282
10780	1994	4.505826	2.33101
10780	1995	4.521101	2.327514
10780	1996	4.545238	2.330026
10780	1997	4.567727	2.344208
10780	1998	4.61188	2.388443
10780	1999	4.632072	2.39473
10780	2000	4.642804	2.3952
10780	2001	4.672342	2.466821
10780	2002	4.684998	2.477704
10780	2003	4.704202	2.467093
10780	2004	4.712781	2.515418
10780	2005	4.735487	2.561376
10780	2006	4.772742	2.558077
10780	2007	4.802114	2.583554
10780	2008	4.791231	2.621334
10780	2009	4.800169	2.602358
10780	2010	4.772736	2.598589
10780	2011	4.731124	2.600112
10900	1975	4.49012	2.225602
10900	1976	4.506802	2.254197
10900	1977	4.574351	2.299417
10900	1978	4.739207	2.349859
10900	1979	4.626464	2.370219
10900	1980	4.60517	2.359532
10900	1981	4.539526	2.364296
10900	1982	4.509133	2.376397
10900	1983	4.477232	2.370027
10900	1984	4.489173	2.407082
10900	1985	4.535108	2.431256
10900	1986	4.608195	2.438576
10900	1987	4.753319	2.44122
10900	1988	4.877905	2.454449
10900	1989	4.872464	2.473054
10900	1990	4.797062	2.458346
10900	1991	4.744126	2.4587
10900	1992	4.722885	2.457183
10900	1993	4.695086	2.454641
10900	1994	4.652091	2.464061
10900	1995	4.620346	2.475257
10900	1996	4.605845	2.494265
10900	1997	4.593606	2.517354
10900	1998	4.603637	2.557998
10900	1999	4.599852	2.580393
10900	2000	4.596032	2.615565
10900	2001	4.636207	2.604491
10900	2002	4.675435	2.606144
10900	2003	4.72037	2.596986
10900	2004	4.803522	2.580288
10900	2005	4.900249	2.567894
10900	2006	4.964873	2.586761
10900	2007	4.963236	2.61331
10900	2008	4.88825	2.612175
10900	2009	4.829663	2.569613
10900	2010	4.77176	2.574935
10900	2011	4.701388	2.586899
11020	1975	4.77698	2.073374
11020	1976	4.77058	2.139618
11020	1977	4.76023	2.167378
11020	1978	4.734461	2.175764
11020	1979	4.687356	2.168617
11020	1980	4.60517	2.11758
11020	1981	4.548352	2.103885
11020	1982	4.529878	2.088469
11020	1983	4.49958	2.065201
11020	1984	4.505716	2.10366
11020	1985	4.523896	2.153622
11020	1986	4.556139	2.200196
11020	1987	4.570606	2.20617
11020	1988	4.58104	2.224067
11020	1989	4.578007	2.264004
11020	1990	4.565123	2.266829
11020	1991	4.559573	2.270561
11020	1992	4.560356	2.297562
11020	1993	4.525455	2.312116
11020	1994	4.568219	2.32168
11020	1995	4.598495	2.328376
11020	1996	4.602129	2.360984
11020	1997	4.598287	2.390599
11020	1998	4.643618	2.447534
11020	1999	4.649991	2.463703
11020	2000	4.644803	2.469321
11020	2001	4.682709	2.439495
11020	2002	4.706696	2.459377
11020	2003	4.728	2.471997
11020	2004	4.743081	2.476494
11020	2005	4.762452	2.47886
11020	2006	4.777144	2.482054
11020	2007	4.793869	2.514439
11020	2008	4.776207	2.507415
11020	2009	4.782161	2.500838
11020	2010	4.7729	2.516942
11020	2011	4.742496	2.519263
11100	1975	4.902147	2.340746
11100	1976	4.862601	2.34707
11100	1977	4.831224	2.359969
11100	1978	4.781809	2.376302
11100	1979	4.697706	2.34558
11100	1980	4.60517	2.29938
11100	1981	4.639151	2.329959
11100	1982	4.619676	2.334338
11100	1983	4.633896	2.388598
11100	1984	4.658049	2.411765
11100	1985	4.621574	2.428885
11100	1986	4.642416	2.448213
11100	1987	4.599036	2.448167
11100	1988	4.500243	2.425878
11100	1989	4.427627	2.439799
11100	1990	4.352508	2.436291
11100	1991	4.37097	2.415843
11100	1992	4.381743	2.442946
11100	1993	4.416354	2.453701
11100	1994	4.478756	2.461973
11100	1995	4.519812	2.476025
11100	1996	4.51987	2.489957
11100	1997	4.529616	2.531942
11100	1998	4.548098	2.562729
11100	1999	4.587279	2.56658
11100	2000	4.594424	2.584177
11100	2001	4.609664	2.577034
11100	2002	4.645693	2.592638
11100	2003	4.646082	2.600423
11100	2004	4.64328	2.604773
11100	2005	4.658851	2.629739
11100	2006	4.67967	2.652115
11100	2007	4.700694	2.692538
11100	2008	4.684445	2.746345
11100	2009	4.693469	2.695038
11100	2010	4.678724	2.717781
11100	2011	4.63996	2.724483
11180	1975	4.768824	2.100148
11180	1976	4.754314	2.129675
11180	1977	4.742471	2.149754
11180	1978	4.715635	2.213065
11180	1979	4.666175	2.192751
11180	1980	4.60517	2.175547
11180	1981	4.530029	2.155969
11180	1982	4.47219	2.132698
11180	1983	4.489013	2.154674
11180	1984	4.492641	2.210951
11180	1985	4.496486	2.223319
11180	1986	4.528173	2.246148
11180	1987	4.491878	2.273499
11180	1988	4.463255	2.250119
11180	1989	4.454367	2.302546
11180	1990	4.470497	2.31301
11180	1991	4.499058	2.333725
11180	1992	4.520256	2.336358
11180	1993	4.551158	2.324251
11180	1994	4.58445	2.373408
11180	1995	4.618131	2.393234
11180	1996	4.620747	2.422594
11180	1997	4.650495	2.450254
11180	1998	4.672413	2.489215
11180	1999	4.68372	2.487339
11180	2000	4.681612	2.491236
11180	2001	4.689912	2.480946
11180	2002	4.70316	2.479084
11180	2003	4.719514	2.494895
11180	2004	4.736828	2.529528
11180	2005	4.743931	2.534628
11180	2006	4.74644	2.577125
11180	2007	4.737393	2.586355
11180	2008	4.70606	2.610428
11180	2009	4.712596	2.559858
11180	2010	4.688738	2.576535
11180	2011	4.646889	2.600008
11300	1975	4.789385	2.206347
11300	1976	4.786042	2.283452
