"w1","w2","count"
"we","got",2
"we","like",2
"who","can",2
"will","and",2
"will","never",2
"will","succeed",2
"work","of",2
"world","i",2
"you","and",2
"you","if",2
"you","you",2
