"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Amir Johnson",TRUE,"21:44",2,5,0.4,0,1,0,2,5,0.4,2,4,6,4,3,0,1,3,6,-6,"2017-11-30_PHI_at_BOS","PHI"
"Jerryd Bayless",FALSE,"31:54",4,9,0.444,2,4,0.5,0,0,NA,1,3,4,3,0,0,4,5,10,-15,"2017-11-30_PHI_at_BOS","PHI"
"Richaun Holmes",FALSE,"19:57",4,7,0.571,1,1,1,0,0,NA,3,4,7,0,0,0,1,2,9,-5,"2017-11-30_PHI_at_BOS","PHI"
"Timothe Luwawu-Cabarrot",FALSE,"17:05",4,5,0.8,3,4,0.75,0,0,NA,0,4,4,0,0,0,0,1,11,-13,"2017-11-30_PHI_at_BOS","PHI"
"Nik Stauskas",FALSE,"9:45",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,1,0,5,"2017-11-30_PHI_at_BOS","PHI"
"Jacob Pullen",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-30_PHI_at_BOS","PHI"
"Furkan Korkmaz",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-30_PHI_at_BOS","PHI"
"James Michael McAdoo",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-30_PHI_at_BOS","PHI"
"Justin Anderson",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-30_PHI_at_BOS","PHI"
"Ben Simmons",TRUE,"39:11",2,6,0.333,0,0,NA,1,2,0.5,3,7,10,6,0,2,4,3,5,6,"2017-12-02_DET_at_PHI","PHI"
"Robert Covington",TRUE,"38:30",8,19,0.421,6,13,0.462,3,3,1,2,6,8,3,2,2,2,3,25,8,"2017-12-02_DET_at_PHI","PHI"
"J.J. Redick",TRUE,"35:35",6,10,0.6,1,3,0.333,5,6,0.833,0,2,2,7,1,0,1,3,18,-8,"2017-12-02_DET_at_PHI","PHI"
"Joel Embiid",TRUE,"31:48",7,21,0.333,0,3,0,11,12,0.917,5,5,10,0,1,0,6,4,25,1,"2017-12-02_DET_at_PHI","PHI"
"Dario Saric",TRUE,"30:45",6,11,0.545,2,5,0.4,3,3,1,2,5,7,1,0,0,2,3,17,-5,"2017-12-02_DET_at_PHI","PHI"
"Jerryd Bayless",FALSE,"25:41",2,9,0.222,1,3,0.333,4,4,1,1,1,2,2,0,0,1,1,9,7,"2017-12-02_DET_at_PHI","PHI"
"Amir Johnson",FALSE,"15:54",3,6,0.5,0,0,NA,0,0,NA,4,2,6,6,1,0,0,5,6,5,"2017-12-02_DET_at_PHI","PHI"
"Timothe Luwawu-Cabarrot",FALSE,"13:46",1,3,0.333,0,1,0,1,2,0.5,0,2,2,1,1,0,1,2,3,10,"2017-12-02_DET_at_PHI","PHI"
"Nik Stauskas",FALSE,"8:50",0,1,0,0,0,NA,0,0,NA,0,0,0,1,1,0,0,0,0,1,"2017-12-02_DET_at_PHI","PHI"
"Jacob Pullen",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-02_DET_at_PHI","PHI"
"Richaun Holmes",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-02_DET_at_PHI","PHI"
"Ben Simmons",TRUE,"36:13",9,18,0.5,0,0,NA,2,2,1,1,7,8,7,6,0,3,3,20,-10,"2017-12-04_PHO_at_PHI","PHI"
"Joel Embiid",TRUE,"34:02",7,18,0.389,0,0,NA,8,8,1,2,10,12,2,0,4,0,1,22,-11,"2017-12-04_PHO_at_PHI","PHI"
"Robert Covington",TRUE,"33:49",3,13,0.231,2,10,0.2,2,2,1,3,3,6,5,1,1,3,1,10,-10,"2017-12-04_PHO_at_PHI","PHI"
"J.J. Redick",TRUE,"33:28",9,16,0.563,3,10,0.3,4,4,1,0,1,1,1,1,0,2,3,25,-19,"2017-12-04_PHO_at_PHI","PHI"
"Dario Saric",TRUE,"33:23",5,11,0.455,0,3,0,0,0,NA,3,6,9,4,1,0,1,4,10,-13,"2017-12-04_PHO_at_PHI","PHI"
"Timothe Luwawu-Cabarrot",FALSE,"25:49",4,8,0.5,0,1,0,0,0,NA,1,1,2,3,0,0,1,5,8,3,"2017-12-04_PHO_at_PHI","PHI"
"Jerryd Bayless",FALSE,"21:38",2,6,0.333,2,5,0.4,0,0,NA,2,3,5,0,0,0,1,4,6,0,"2017-12-04_PHO_at_PHI","PHI"
"Amir Johnson",FALSE,"13:58",0,0,NA,0,0,NA,0,0,NA,1,3,4,1,0,1,1,0,0,-3,"2017-12-04_PHO_at_PHI","PHI"
"Nik Stauskas",FALSE,"7:39",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,2,1,0,-7,"2017-12-04_PHO_at_PHI","PHI"
"Richaun Holmes",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-04_PHO_at_PHI","PHI"
"Jacob Pullen",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-04_PHO_at_PHI","PHI"
"Justin Anderson",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-04_PHO_at_PHI","PHI"
