"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Ivica Zubac",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-09_LAL_at_CHO","LAL"
"Brandon Ingram",TRUE,"41:24",2,12,0.167,0,1,0,1,1,1,3,4,7,5,1,1,5,2,5,-8,"2017-12-12_LAL_at_NYK","LAL"
"Lonzo Ball",TRUE,"39:31",6,13,0.462,3,6,0.5,2,3,0.667,1,7,8,6,2,1,1,3,17,-11,"2017-12-12_LAL_at_NYK","LAL"
"Kentavious Caldwell-Pope",TRUE,"38:22",8,20,0.4,4,14,0.286,4,4,1,2,2,4,3,3,0,1,1,24,-4,"2017-12-12_LAL_at_NYK","LAL"
"Larry Nance",TRUE,"25:30",2,4,0.5,0,0,NA,1,1,1,2,7,9,1,0,0,0,2,5,-2,"2017-12-12_LAL_at_NYK","LAL"
"Brook Lopez",TRUE,"23:26",5,13,0.385,2,6,0.333,2,2,1,3,1,4,3,0,1,4,2,14,-5,"2017-12-12_LAL_at_NYK","LAL"
"Kyle Kuzma",FALSE,"29:34",8,17,0.471,3,6,0.5,0,0,NA,3,3,6,1,0,2,0,4,19,1,"2017-12-12_LAL_at_NYK","LAL"
"Julius Randle",FALSE,"27:30",6,11,0.545,0,0,NA,1,3,0.333,2,2,4,2,0,1,3,5,13,-2,"2017-12-12_LAL_at_NYK","LAL"
"Jordan Clarkson",FALSE,"20:17",5,11,0.455,1,2,0.5,1,1,1,4,2,6,3,0,0,1,0,12,9,"2017-12-12_LAL_at_NYK","LAL"
"Josh Hart",FALSE,"10:28",0,0,NA,0,0,NA,0,0,NA,0,3,3,0,0,0,0,0,0,3,"2017-12-12_LAL_at_NYK","LAL"
"Corey Brewer",FALSE,"8:58",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,1,0,0,-1,"2017-12-12_LAL_at_NYK","LAL"
"Andrew Bogut",FALSE,"0:00",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,"2017-12-12_LAL_at_NYK","LAL"
"Tyler Ennis",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-12_LAL_at_NYK","LAL"
"Ivica Zubac",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-12_LAL_at_NYK","LAL"
"Brandon Ingram",TRUE,"39:41",10,15,0.667,3,4,0.75,3,4,0.75,1,5,6,6,1,0,2,4,26,-14,"2017-12-14_LAL_at_CLE","LAL"
"Lonzo Ball",TRUE,"37:53",5,11,0.455,3,8,0.375,0,0,NA,1,7,8,11,2,0,6,3,13,-11,"2017-12-14_LAL_at_CLE","LAL"
"Josh Hart",TRUE,"32:45",4,11,0.364,1,4,0.25,2,2,1,1,9,10,2,1,1,1,2,11,-3,"2017-12-14_LAL_at_CLE","LAL"
"Brook Lopez",TRUE,"22:12",4,10,0.4,0,2,0,0,2,0,1,0,1,2,0,1,1,3,8,-4,"2017-12-14_LAL_at_CLE","LAL"
"Larry Nance",TRUE,"21:17",3,7,0.429,0,0,NA,0,2,0,8,4,12,3,2,0,0,2,6,-5,"2017-12-14_LAL_at_CLE","LAL"
"Kyle Kuzma",FALSE,"30:54",8,16,0.5,1,5,0.2,3,3,1,3,4,7,1,0,0,4,3,20,-8,"2017-12-14_LAL_at_CLE","LAL"
"Jordan Clarkson",FALSE,"25:22",5,13,0.385,1,7,0.143,0,0,NA,0,1,1,4,0,0,2,0,11,-4,"2017-12-14_LAL_at_CLE","LAL"
"Julius Randle",FALSE,"21:37",6,9,0.667,0,0,NA,1,1,1,1,3,4,3,0,1,2,1,13,-1,"2017-12-14_LAL_at_CLE","LAL"
"Corey Brewer",FALSE,"8:19",2,3,0.667,0,1,0,0,0,NA,0,0,0,1,1,0,0,2,4,5,"2017-12-14_LAL_at_CLE","LAL"
"Tyler Ennis",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-14_LAL_at_CLE","LAL"
"Andrew Bogut",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-14_LAL_at_CLE","LAL"
