"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Otto Porter",TRUE,"27:44",4,9,0.444,2,3,0.667,2,2,1,0,4,4,1,0,0,1,3,12,-10,"2017-11-22_WAS_at_CHO","WAS"
"Kelly Oubre",FALSE,"23:14",3,9,0.333,1,3,0.333,2,2,1,1,3,4,1,0,0,1,4,9,-1,"2017-11-22_WAS_at_CHO","WAS"
"Mike Scott",FALSE,"18:45",5,7,0.714,3,5,0.6,0,0,NA,0,4,4,0,0,0,1,3,13,5,"2017-11-22_WAS_at_CHO","WAS"
"Ian Mahinmi",FALSE,"16:15",1,2,0.5,0,0,NA,1,2,0.5,2,3,5,1,1,0,0,5,3,6,"2017-11-22_WAS_at_CHO","WAS"
"Jodie Meeks",FALSE,"14:06",4,9,0.444,0,5,0,1,2,0.5,0,0,0,2,0,0,0,0,9,13,"2017-11-22_WAS_at_CHO","WAS"
"Tim Frazier",FALSE,"11:52",1,1,1,1,1,1,0,0,NA,0,2,2,3,0,1,2,2,3,-3,"2017-11-22_WAS_at_CHO","WAS"
"Jason Smith",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-22_WAS_at_CHO","WAS"
"Chris McCullough",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-22_WAS_at_CHO","WAS"
"Tomas Satoransky",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-22_WAS_at_CHO","WAS"
"Otto Porter",TRUE,"36:52",9,15,0.6,1,1,1,5,5,1,3,7,10,2,3,1,0,2,24,2,"2017-11-25_POR_at_WAS","WAS"
"Bradley Beal",TRUE,"35:09",10,24,0.417,3,10,0.3,3,4,0.75,0,1,1,7,2,2,3,0,26,-19,"2017-11-25_POR_at_WAS","WAS"
"Markieff Morris",TRUE,"29:35",4,10,0.4,1,2,0.5,0,0,NA,0,7,7,2,0,0,1,4,9,-5,"2017-11-25_POR_at_WAS","WAS"
"Tim Frazier",TRUE,"28:00",4,9,0.444,1,3,0.333,2,2,1,0,3,3,2,2,0,2,0,11,-3,"2017-11-25_POR_at_WAS","WAS"
"Marcin Gortat",TRUE,"27:38",4,5,0.8,0,0,NA,0,0,NA,0,4,4,2,0,0,2,3,8,-7,"2017-11-25_POR_at_WAS","WAS"
"Kelly Oubre",FALSE,"24:57",5,12,0.417,2,4,0.5,1,1,1,2,4,6,1,2,0,1,1,13,-5,"2017-11-25_POR_at_WAS","WAS"
"Jodie Meeks",FALSE,"18:11",2,5,0.4,0,1,0,2,2,1,0,0,0,0,0,0,1,1,6,2,"2017-11-25_POR_at_WAS","WAS"
"Ian Mahinmi",FALSE,"17:18",0,3,0,0,0,NA,2,2,1,1,2,3,0,0,0,1,4,2,6,"2017-11-25_POR_at_WAS","WAS"
"Tomas Satoransky",FALSE,"14:41",2,3,0.667,0,0,NA,0,0,NA,1,2,3,4,0,0,0,2,4,16,"2017-11-25_POR_at_WAS","WAS"
"Jason Smith",FALSE,"7:40",1,3,0.333,0,2,0,0,0,NA,0,0,0,0,0,1,0,0,2,3,"2017-11-25_POR_at_WAS","WAS"
