"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Gary Harris",TRUE,"35:46",5,7,0.714,3,3,1,1,1,1,1,4,5,3,1,0,1,2,14,0,"2017-10-18_DEN_at_UTA","DEN"
"Nikola Jokic",TRUE,"35:33",3,10,0.3,1,4,0.25,0,0,NA,0,12,12,7,0,0,4,1,7,-9,"2017-10-18_DEN_at_UTA","DEN"
"Wilson Chandler",TRUE,"34:21",4,11,0.364,1,4,0.25,0,0,NA,1,1,2,1,2,1,1,2,9,-23,"2017-10-18_DEN_at_UTA","DEN"
"Paul Millsap",TRUE,"33:30",7,15,0.467,1,5,0.2,4,5,0.8,1,5,6,1,0,0,5,3,19,-6,"2017-10-18_DEN_at_UTA","DEN"
"Jamal Murray",TRUE,"19:59",2,6,0.333,2,5,0.4,2,2,1,1,1,2,2,0,0,3,2,8,9,"2017-10-18_DEN_at_UTA","DEN"
"Will Barton",FALSE,"31:20",8,14,0.571,3,4,0.75,4,4,1,1,5,6,2,1,1,3,2,23,-10,"2017-10-18_DEN_at_UTA","DEN"
"Emmanuel Mudiay",FALSE,"18:34",3,8,0.375,2,2,1,0,0,NA,0,1,1,2,0,0,0,1,8,-12,"2017-10-18_DEN_at_UTA","DEN"
"Mason Plumlee",FALSE,"15:54",3,5,0.6,0,0,NA,0,0,NA,1,1,2,2,0,1,2,5,6,-14,"2017-10-18_DEN_at_UTA","DEN"
"Kenneth Faried",FALSE,"6:09",1,1,1,0,0,NA,0,0,NA,1,0,1,0,0,0,1,0,2,2,"2017-10-18_DEN_at_UTA","DEN"
"Juan Hernangomez",FALSE,"5:52",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,1,"2017-10-18_DEN_at_UTA","DEN"
"Malik Beasley",FALSE,"1:31",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,1,0,0,6,"2017-10-18_DEN_at_UTA","DEN"
"Trey Lyles",FALSE,"1:31",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,6,"2017-10-18_DEN_at_UTA","DEN"
"Darrell Arthur",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_DEN_at_UTA","DEN"
"Nikola Jokic",TRUE,"30:27",0,3,0,0,1,0,0,0,NA,0,9,9,7,1,0,3,4,0,21,"2017-10-21_SAC_at_DEN","DEN"
"Gary Harris",TRUE,"30:05",7,11,0.636,3,6,0.5,0,1,0,0,0,0,1,1,0,3,3,17,14,"2017-10-21_SAC_at_DEN","DEN"
"Wilson Chandler",TRUE,"29:33",2,8,0.25,1,3,0.333,0,0,NA,7,5,12,4,1,0,1,1,5,5,"2017-10-21_SAC_at_DEN","DEN"
"Paul Millsap",TRUE,"28:59",6,11,0.545,2,3,0.667,4,5,0.8,1,8,9,2,0,1,3,1,18,8,"2017-10-21_SAC_at_DEN","DEN"
"Jamal Murray",TRUE,"19:54",1,9,0.111,0,4,0,0,0,NA,1,1,2,2,1,0,1,1,2,7,"2017-10-21_SAC_at_DEN","DEN"
"Will Barton",FALSE,"28:24",6,13,0.462,3,8,0.375,0,0,NA,1,4,5,3,1,0,1,1,15,12,"2017-10-21_SAC_at_DEN","DEN"
"Emmanuel Mudiay",FALSE,"28:06",4,11,0.364,0,2,0,2,4,0.5,0,8,8,4,0,0,2,5,10,10,"2017-10-21_SAC_at_DEN","DEN"
"Kenneth Faried",FALSE,"22:34",7,10,0.7,0,0,NA,4,6,0.667,4,4,8,1,2,1,1,2,18,10,"2017-10-21_SAC_at_DEN","DEN"
"Mason Plumlee",FALSE,"10:39",2,5,0.4,0,0,NA,2,4,0.5,3,0,3,1,0,0,1,0,6,-6,"2017-10-21_SAC_at_DEN","DEN"
"Juan Hernangomez",FALSE,"6:47",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,6,"2017-10-21_SAC_at_DEN","DEN"
"Trey Lyles",FALSE,"3:21",2,3,0.667,1,2,0.5,0,0,NA,1,1,2,0,0,0,0,1,5,1,"2017-10-21_SAC_at_DEN","DEN"
"Malik Beasley",FALSE,"1:11",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-3,"2017-10-21_SAC_at_DEN","DEN"
"Darrell Arthur",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-21_SAC_at_DEN","DEN"
"Nikola Jokic",TRUE,"35:02",9,14,0.643,3,3,1,8,8,1,2,7,9,5,1,0,7,4,29,-1,"2017-10-23_WAS_at_DEN","DEN"
"Gary Harris",TRUE,"33:36",1,6,0.167,0,3,0,0,0,NA,0,5,5,6,1,0,4,3,2,-7,"2017-10-23_WAS_at_DEN","DEN"
"Wilson Chandler",TRUE,"31:55",2,4,0.5,0,0,NA,3,4,0.75,1,1,2,4,0,0,3,3,7,-15,"2017-10-23_WAS_at_DEN","DEN"
"Paul Millsap",TRUE,"30:14",8,15,0.533,0,1,0,1,1,1,3,5,8,0,0,0,2,2,17,-4,"2017-10-23_WAS_at_DEN","DEN"
"Jamal Murray",TRUE,"29:09",4,12,0.333,0,5,0,0,0,NA,0,3,3,6,0,1,1,3,8,-9,"2017-10-23_WAS_at_DEN","DEN"
"Will Barton",FALSE,"29:54",5,12,0.417,2,6,0.333,0,2,0,1,3,4,3,0,0,0,4,12,5,"2017-10-23_WAS_at_DEN","DEN"
"Emmanuel Mudiay",FALSE,"19:02",5,9,0.556,2,4,0.5,3,4,0.75,0,3,3,1,1,0,5,2,15,2,"2017-10-23_WAS_at_DEN","DEN"
"Mason Plumlee",FALSE,"12:38",2,4,0.5,0,0,NA,1,2,0.5,1,2,3,0,1,1,1,0,5,-2,"2017-10-23_WAS_at_DEN","DEN"
"Kenneth Faried",FALSE,"11:30",2,3,0.667,0,0,NA,2,2,1,1,5,6,1,0,0,0,0,6,-1,"2017-10-23_WAS_at_DEN","DEN"
"Malik Beasley",FALSE,"7:00",1,1,1,1,1,1,0,0,NA,0,1,1,1,1,0,0,1,3,7,"2017-10-23_WAS_at_DEN","DEN"
