"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Terry Rozier",FALSE,"25:05",2,7,0.286,2,5,0.4,0,0,NA,1,4,5,3,1,0,0,1,6,11,"2017-11-18_BOS_at_ATL","BOS"
"Shane Larkin",FALSE,"16:38",0,5,0,0,1,0,0,0,NA,0,0,0,3,1,0,0,2,0,7,"2017-11-18_BOS_at_ATL","BOS"
"Aron Baynes",FALSE,"12:55",1,3,0.333,0,0,NA,0,0,NA,2,2,4,0,0,1,3,4,2,9,"2017-11-18_BOS_at_ATL","BOS"
"Daniel Theis",FALSE,"3:06",0,2,0,0,0,NA,0,0,NA,2,1,3,0,0,0,2,0,0,-4,"2017-11-18_BOS_at_ATL","BOS"
"Semi Ojeleye",FALSE,"2:40",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-5,"2017-11-18_BOS_at_ATL","BOS"
"Abdel Nader",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-18_BOS_at_ATL","BOS"
"Guerschon Yabusele",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-18_BOS_at_ATL","BOS"
"Kyrie Irving",TRUE,"38:46",16,22,0.727,5,7,0.714,10,11,0.909,1,2,3,6,1,0,3,3,47,21,"2017-11-20_BOS_at_DAL","BOS"
"Al Horford",TRUE,"38:42",1,5,0.2,1,1,1,0,0,NA,1,7,8,7,1,2,3,0,3,15,"2017-11-20_BOS_at_DAL","BOS"
"Jayson Tatum",TRUE,"37:49",6,11,0.545,0,2,0,3,4,0.75,0,9,9,1,1,1,1,3,15,15,"2017-11-20_BOS_at_DAL","BOS"
"Jaylen Brown",TRUE,"37:06",8,13,0.615,3,6,0.5,3,6,0.5,0,9,9,0,1,0,3,2,22,6,"2017-11-20_BOS_at_DAL","BOS"
"Marcus Morris",TRUE,"26:11",3,11,0.273,1,4,0.25,1,1,1,1,8,9,2,1,1,1,3,8,0,"2017-11-20_BOS_at_DAL","BOS"
"Marcus Smart",FALSE,"34:53",3,15,0.2,2,11,0.182,4,4,1,1,2,3,8,2,0,3,4,12,15,"2017-11-20_BOS_at_DAL","BOS"
"Terry Rozier",FALSE,"13:41",1,4,0.25,1,3,0.333,0,0,NA,0,2,2,0,0,0,2,1,3,-13,"2017-11-20_BOS_at_DAL","BOS"
"Aron Baynes",FALSE,"13:24",0,1,0,0,0,NA,0,0,NA,1,3,4,0,1,0,0,4,0,1,"2017-11-20_BOS_at_DAL","BOS"
"Semi Ojeleye",FALSE,"11:42",0,0,NA,0,0,NA,0,0,NA,0,3,3,0,0,0,0,2,0,-7,"2017-11-20_BOS_at_DAL","BOS"
"Daniel Theis",FALSE,"6:19",0,0,NA,0,0,NA,0,0,NA,0,3,3,0,0,0,0,0,0,-5,"2017-11-20_BOS_at_DAL","BOS"
"Abdel Nader",FALSE,"3:46",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,1,0,-5,"2017-11-20_BOS_at_DAL","BOS"
"Shane Larkin",FALSE,"2:41",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-3,"2017-11-20_BOS_at_DAL","BOS"
"Guerschon Yabusele",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-20_BOS_at_DAL","BOS"
"Al Horford",TRUE,"34:57",3,10,0.3,1,4,0.25,0,2,0,2,7,9,4,1,2,1,0,7,8,"2017-11-22_BOS_at_MIA","BOS"
"Jayson Tatum",TRUE,"34:05",5,11,0.455,3,4,0.75,5,5,1,1,6,7,4,1,1,1,1,18,4,"2017-11-22_BOS_at_MIA","BOS"
