"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Willie Reed",FALSE,"3:22",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,"2017-12-03_LAC_at_MIN","LAC"
"Danilo Gallinari",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-03_LAC_at_MIN","LAC"
"Brice Johnson",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-03_LAC_at_MIN","LAC"
"Austin Rivers",TRUE,"37:01",9,18,0.5,2,6,0.333,3,5,0.6,0,2,2,4,2,0,2,1,23,-5,"2017-12-06_MIN_at_LAC","LAC"
"DeAndre Jordan",TRUE,"34:20",8,12,0.667,0,0,NA,2,3,0.667,12,9,21,2,0,0,3,3,18,-5,"2017-12-06_MIN_at_LAC","LAC"
"Wesley Johnson",TRUE,"31:43",4,11,0.364,0,5,0,1,2,0.5,1,2,3,2,0,3,0,1,9,-6,"2017-12-06_MIN_at_LAC","LAC"
"Danilo Gallinari",TRUE,"25:58",2,13,0.154,1,5,0.2,2,2,1,0,4,4,0,1,0,2,0,7,-11,"2017-12-06_MIN_at_LAC","LAC"
"C.J. Williams",TRUE,"11:27",1,4,0.25,1,1,1,0,0,NA,0,0,0,1,0,0,0,0,3,-11,"2017-12-06_MIN_at_LAC","LAC"
"Lou Williams",FALSE,"36:35",9,20,0.45,4,9,0.444,1,2,0.5,1,2,3,8,1,0,1,3,23,8,"2017-12-06_MIN_at_LAC","LAC"
"Jamil Wilson",FALSE,"16:18",2,5,0.4,1,3,0.333,0,0,NA,1,0,1,3,0,0,0,1,5,10,"2017-12-06_MIN_at_LAC","LAC"
"Sindarius Thornwell",FALSE,"15:56",2,4,0.5,0,1,0,0,1,0,1,3,4,0,0,0,1,2,4,3,"2017-12-06_MIN_at_LAC","LAC"
"Montrezl Harrell",FALSE,"13:19",4,5,0.8,0,0,NA,0,0,NA,1,1,2,0,1,0,0,3,8,-1,"2017-12-06_MIN_at_LAC","LAC"
"Jawun Evans",FALSE,"11:19",2,4,0.5,1,2,0.5,0,0,NA,0,2,2,3,1,0,0,2,5,-7,"2017-12-06_MIN_at_LAC","LAC"
"Sam Dekker",FALSE,"6:05",1,3,0.333,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,2,-5,"2017-12-06_MIN_at_LAC","LAC"
"Willie Reed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-06_MIN_at_LAC","LAC"
"Milos Teodosic",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-06_MIN_at_LAC","LAC"
"Danilo Gallinari",TRUE,"36:02",8,19,0.421,2,7,0.286,7,7,1,0,3,3,2,1,0,2,1,25,-2,"2017-12-09_WAS_at_LAC","LAC"
"Austin Rivers",TRUE,"35:58",6,15,0.4,4,8,0.5,0,0,NA,0,0,0,7,0,1,2,3,16,-11,"2017-12-09_WAS_at_LAC","LAC"
"DeAndre Jordan",TRUE,"33:47",2,6,0.333,0,0,NA,2,4,0.5,3,14,17,2,1,1,1,3,6,-4,"2017-12-09_WAS_at_LAC","LAC"
"Wesley Johnson",TRUE,"24:05",2,5,0.4,1,4,0.25,0,0,NA,0,2,2,0,3,2,1,2,5,-4,"2017-12-09_WAS_at_LAC","LAC"
"Sindarius Thornwell",TRUE,"19:37",1,3,0.333,0,1,0,0,0,NA,0,2,2,0,1,0,1,1,2,-15,"2017-12-09_WAS_at_LAC","LAC"
"Lou Williams",FALSE,"37:02",11,20,0.55,4,8,0.5,9,10,0.9,0,2,2,8,0,0,1,3,35,14,"2017-12-09_WAS_at_LAC","LAC"
"Jawun Evans",FALSE,"17:21",3,5,0.6,2,3,0.667,0,0,NA,0,0,0,1,1,0,1,2,8,10,"2017-12-09_WAS_at_LAC","LAC"
"Montrezl Harrell",FALSE,"14:13",4,4,1,0,0,NA,3,3,1,0,3,3,1,1,0,0,2,11,5,"2017-12-09_WAS_at_LAC","LAC"
"Jamil Wilson",FALSE,"11:53",1,1,1,0,0,NA,0,0,NA,0,2,2,0,0,0,1,2,2,6,"2017-12-09_WAS_at_LAC","LAC"
"C.J. Williams",FALSE,"10:02",1,2,0.5,1,1,1,0,0,NA,1,1,2,1,0,0,0,0,3,6,"2017-12-09_WAS_at_LAC","LAC"
"Willie Reed",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-09_WAS_at_LAC","LAC"
"Milos Teodosic",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-09_WAS_at_LAC","LAC"
"Sam Dekker",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-09_WAS_at_LAC","LAC"
"Austin Rivers",TRUE,"32:42",6,14,0.429,3,8,0.375,0,2,0,0,1,1,3,1,0,2,1,15,5,"2017-12-11_TOR_at_LAC","LAC"
"DeAndre Jordan",TRUE,"32:40",6,10,0.6,0,0,NA,2,2,1,6,11,17,4,1,2,1,4,14,2,"2017-12-11_TOR_at_LAC","LAC"
"Milos Teodosic",TRUE,"20:32",4,12,0.333,2,9,0.222,2,2,1,1,6,7,0,0,0,1,3,12,6,"2017-12-11_TOR_at_LAC","LAC"
"Wesley Johnson",TRUE,"19:53",1,7,0.143,0,4,0,3,4,0.75,1,4,5,0,0,0,1,2,5,-10,"2017-12-11_TOR_at_LAC","LAC"
"Jamil Wilson",TRUE,"9:10",0,3,0,0,3,0,0,0,NA,0,2,2,0,0,0,0,1,0,-6,"2017-12-11_TOR_at_LAC","LAC"
"Lou Williams",FALSE,"35:44",6,18,0.333,3,8,0.375,2,2,1,1,4,5,5,1,0,2,3,17,11,"2017-12-11_TOR_at_LAC","LAC"
"Sam Dekker",FALSE,"27:15",4,11,0.364,0,3,0,4,5,0.8,1,4,5,1,1,0,0,3,12,12,"2017-12-11_TOR_at_LAC","LAC"
