"season.num","season","team","wins","win.pct","season.rank","year","diff.wins.prev","diff.pct.prev"
35,"2010-11","BOS",56,0.682926829268293,6,2011,6,0.12
36,"2011-12","BOS",39,0.590909090909091,10,2012,-17,-0.13474025974026
37,"2012-13","BOS",41,0.5,16,2013,2,-0.153846153846154
38,"2013-14","BOS",25,0.304878048780488,26,2014,-16,-0.390243902439024
39,"2014-15","BOS",40,0.48780487804878,16,2015,15,0.6
40,"2015-16","BOS",48,0.585365853658537,7,2016,8,0.2
1,"1976-77","BRK",22,0.268292682926829,22,1977,NA,NA
2,"1977-78","BRK",24,0.292682926829268,22,1978,2,0.0909090909090908
3,"1978-79","BRK",37,0.451219512195122,16,1979,13,0.541666666666667
4,"1979-80","BRK",34,0.414634146341463,17,1980,-3,-0.0810810810810812
5,"1980-81","BRK",24,0.292682926829268,21,1981,-10,-0.294117647058824
6,"1981-82","BRK",44,0.536585365853659,11,1982,20,0.833333333333334
7,"1982-83","BRK",49,0.597560975609756,7,1983,5,0.113636363636364
8,"1983-84","BRK",45,0.548780487804878,8,1984,-4,-0.0816326530612244
9,"1984-85","BRK",42,0.51219512195122,9,1985,-3,-0.0666666666666667
10,"1985-86","BRK",39,0.475609756097561,12,1986,-3,-0.0714285714285715
11,"1986-87","BRK",24,0.292682926829268,21,1987,-15,-0.384615384615385
12,"1987-88","BRK",19,0.231707317073171,22,1988,-5,-0.208333333333333
13,"1988-89","BRK",26,0.317073170731707,21,1989,7,0.368421052631579
14,"1989-90","BRK",17,0.207317073170732,27,1990,-9,-0.346153846153846
15,"1990-91","BRK",26,0.317073170731707,23,1991,9,0.529411764705882
16,"1991-92","BRK",40,0.48780487804878,15,1992,14,0.538461538461538
17,"1992-93","BRK",43,0.524390243902439,12,1993,3,0.0750000000000001
18,"1993-94","BRK",45,0.548780487804878,14,1994,2,0.0465116279069768
19,"1994-95","BRK",30,0.365853658536585,21,1995,-15,-0.333333333333333
20,"1995-96","BRK",30,0.365853658536585,22,1996,0,0
21,"1996-97","BRK",26,0.317073170731707,23,1997,-4,-0.133333333333333
22,"1997-98","BRK",43,0.524390243902439,14,1998,17,0.653846153846154
23,"1998-99","BRK",16,0.32,25,1999,-27,-0.389767441860465
24,"1999-00","BRK",31,0.378048780487805,23,2000,15,0.18140243902439
25,"2000-01","BRK",26,0.317073170731707,24,2001,-5,-0.161290322580645
26,"2001-02","BRK",52,0.634146341463415,5,2002,26,1
27,"2002-03","BRK",49,0.597560975609756,8,2003,-3,-0.0576923076923077
28,"2003-04","BRK",47,0.573170731707317,9,2004,-2,-0.0408163265306123
29,"2004-05","BRK",42,0.51219512195122,17,2005,-5,-0.106382978723404
30,"2005-06","BRK",49,0.597560975609756,7,2006,7,0.166666666666667
31,"2006-07","BRK",41,0.5,14,2007,-8,-0.163265306122449
32,"2007-08","BRK",34,0.414634146341463,21,2008,-7,-0.170731707317073
33,"2008-09","BRK",34,0.414634146341463,20,2009,0,0
34,"2009-10","BRK",12,0.146341463414634,30,2010,-22,-0.647058823529412
35,"2010-11","BRK",24,0.292682926829268,25,2011,12,1
36,"2011-12","BRK",22,0.333333333333333,25,2012,-2,0.138888888888889
37,"2012-13","BRK",49,0.597560975609756,8,2013,27,0.792682926829268
38,"2013-14","BRK",44,0.536585365853659,14,2014,-5,-0.102040816326531
39,"2014-15","BRK",38,0.463414634146341,18,2015,-6,-0.136363636363636
40,"2015-16","BRK",21,0.25609756097561,28,2016,-17,-0.447368421052632
1,"1976-77","CHI",44,0.536585365853659,8,1977,NA,NA
2,"1977-78","CHI",40,0.48780487804878,14,1978,-4,-0.090909090909091
3,"1978-79","CHI",31,0.378048780487805,17,1979,-9,-0.225
4,"1979-80","CHI",30,0.365853658536585,18,1980,-1,-0.0322580645161291
5,"1980-81","CHI",45,0.548780487804878,8,1981,15,0.5
6,"1981-82","CHI",34,0.414634146341463,17,1982,-11,-0.244444444444445
7,"1982-83","CHI",28,0.341463414634146,19,1983,-6,-0.176470588235294
8,"1983-84","CHI",27,0.329268292682927,22,1984,-1,-0.0357142857142857
9,"1984-85","CHI",38,0.463414634146341,14,1985,11,0.407407407407407
10,"1985-86","CHI",30,0.365853658536585,19,1986,-8,-0.210526315789474
11,"1986-87","CHI",40,0.48780487804878,14,1987,10,0.333333333333333
12,"1987-88","CHI",50,0.609756097560976,7,1988,10,0.25
13,"1988-89","CHI",47,0.573170731707317,9,1989,-3,-0.0600000000000001
14,"1989-90","CHI",55,0.670731707317073,5,1990,8,0.170212765957447
15,"1990-91","CHI",61,0.74390243902439,2,1991,6,0.109090909090909
16,"1991-92","CHI",67,0.817073170731707,1,1992,6,0.0983606557377049
17,"1992-93","CHI",57,0.695121951219512,3,1993,-10,-0.149253731343284
18,"1993-94","CHI",55,0.670731707317073,6,1994,-2,-0.0350877192982455
19,"1994-95","CHI",47,0.573170731707317,10,1995,-8,-0.145454545454546
20,"1995-96","CHI",72,0.878048780487805,1,1996,25,0.531914893617021
21,"1996-97","CHI",69,0.841463414634146,1,1997,-3,-0.0416666666666667
22,"1997-98","CHI",62,0.75609756097561,1,1998,-7,-0.101449275362319
23,"1998-99","CHI",13,0.26,27,1999,-49,-0.656129032258065
24,"1999-00","CHI",17,0.207317073170732,28,2000,4,-0.202626641651032
25,"2000-01","CHI",15,0.182926829268293,29,2001,-2,-0.117647058823529
26,"2001-02","CHI",21,0.25609756097561,28,2002,6,0.4
27,"2002-03","CHI",30,0.365853658536585,23,2003,9,0.428571428571428
28,"2003-04","CHI",23,0.280487804878049,28,2004,-7,-0.233333333333333
29,"2004-05","CHI",47,0.573170731707317,10,2005,24,1.04347826086956
30,"2005-06","CHI",41,0.5,14,2006,-6,-0.127659574468085
31,"2006-07","CHI",49,0.597560975609756,8,2007,8,0.195121951219512
32,"2007-08","CHI",33,0.402439024390244,22,2008,-16,-0.326530612244898
33,"2008-09","CHI",41,0.5,15,2009,8,0.242424242424242
34,"2009-10","CHI",41,0.5,17,2010,0,0
35,"2010-11","CHI",62,0.75609756097561,1,2011,21,0.51219512195122
36,"2011-12","CHI",50,0.757575757575758,1,2012,-12,0.00195503421309871
37,"2012-13","CHI",45,0.548780487804878,11,2013,-5,-0.275609756097561
38,"2013-14","CHI",48,0.585365853658537,11,2014,3,0.0666666666666665
39,"2014-15","CHI",50,0.609756097560976,9,2015,2,0.0416666666666667
40,"2015-16","CHI",42,0.51219512195122,14,2016,-8,-0.16
1,"1976-77","CHO",NA,NA,NA,1977,NA,NA
2,"1977-78","CHO",NA,NA,NA,1978,NA,NA
3,"1978-79","CHO",NA,NA,NA,1979,NA,NA
4,"1979-80","CHO",NA,NA,NA,1980,NA,NA
5,"1980-81","CHO",NA,NA,NA,1981,NA,NA
6,"1981-82","CHO",NA,NA,NA,1982,NA,NA
7,"1982-83","CHO",NA,NA,NA,1983,NA,NA
8,"1983-84","CHO",NA,NA,NA,1984,NA,NA
9,"1984-85","CHO",NA,NA,NA,1985,NA,NA
10,"1985-86","CHO",NA,NA,NA,1986,NA,NA
11,"1986-87","CHO",NA,NA,NA,1987,NA,NA
12,"1987-88","CHO",NA,NA,NA,1988,NA,NA
13,"1988-89","CHO",20,0.24390243902439,24,1989,NA,NA
14,"1989-90","CHO",19,0.231707317073171,24,1990,-1,-0.0499999999999999
15,"1990-91","CHO",26,0.317073170731707,23,1991,7,0.368421052631579
16,"1991-92","CHO",31,0.378048780487805,20,1992,5,0.192307692307692
17,"1992-93","CHO",44,0.536585365853659,11,1993,13,0.419354838709677
18,"1993-94","CHO",41,0.5,17,1994,-3,-0.0681818181818182
19,"1994-95","CHO",50,0.609756097560976,8,1995,9,0.219512195121951
20,"1995-96","CHO",41,0.5,15,1996,-9,-0.18
21,"1996-97","CHO",54,0.658536585365854,9,1997,13,0.317073170731707
22,"1997-98","CHO",51,0.621951219512195,9,1998,-3,-0.0555555555555556
23,"1998-99","CHO",26,0.52,16,1999,-25,-0.163921568627451
24,"1999-00","CHO",49,0.597560975609756,10,2000,23,0.149155722326454
25,"2000-01","CHO",46,0.560975609756098,14,2001,-3,-0.0612244897959182
26,"2001-02","CHO",44,0.536585365853659,11,2002,-2,-0.0434782608695653
27,"2002-03","CHO",NA,NA,NA,2003,NA,NA
28,"2003-04","CHO",NA,NA,NA,2004,NA,NA
29,"2004-05","CHO",18,0.219512195121951,28,2005,NA,NA
30,"2005-06","CHO",26,0.317073170731707,27,2006,8,0.444444444444444
31,"2006-07","CHO",33,0.402439024390244,21,2007,7,0.269230769230769
32,"2007-08","CHO",32,0.390243902439024,23,2008,-1,-0.0303030303030303
33,"2008-09","CHO",35,0.426829268292683,19,2009,3,0.0937499999999999
34,"2009-10","CHO",44,0.536585365853659,15,2010,9,0.257142857142857
35,"2010-11","CHO",34,0.414634146341463,22,2011,-10,-0.227272727272727
36,"2011-12","CHO",7,0.106060606060606,30,2012,-27,-0.744206773618538
37,"2012-13","CHO",21,0.25609756097561,29,2013,14,1.41463414634146
38,"2013-14","CHO",43,0.524390243902439,16,2014,22,1.04761904761905
39,"2014-15","CHO",33,0.402439024390244,22,2015,-10,-0.232558139534884
40,"2015-16","CHO",48,0.585365853658537,7,2016,15,0.454545454545454
1,"1976-77","CLE",43,0.524390243902439,12,1977,NA,NA
2,"1977-78","CLE",43,0.524390243902439,10,1978,0,0
3,"1978-79","CLE",30,0.365853658536585,19,1979,-13,-0.302325581395349
4,"1979-80","CLE",37,0.451219512195122,14,1980,7,0.233333333333333
5,"1980-81","CLE",28,0.341463414634146,19,1981,-9,-0.243243243243243
6,"1981-82","CLE",15,0.182926829268293,23,1982,-13,-0.464285714285714
7,"1982-83","CLE",23,0.280487804878049,21,1983,8,0.533333333333334
8,"1983-84","CLE",28,0.341463414634146,21,1984,5,0.217391304347826
9,"1984-85","CLE",36,0.439024390243902,15,1985,8,0.285714285714286
10,"1985-86","CLE",29,0.353658536585366,21,1986,-7,-0.194444444444445
11,"1986-87","CLE",31,0.378048780487805,18,1987,2,0.0689655172413794
12,"1987-88","CLE",42,0.51219512195122,12,1988,11,0.354838709677419
13,"1988-89","CLE",57,0.695121951219512,2,1989,15,0.357142857142857
14,"1989-90","CLE",42,0.51219512195122,14,1990,-15,-0.263157894736842
15,"1990-91","CLE",33,0.402439024390244,17,1991,-9,-0.214285714285714
16,"1991-92","CLE",57,0.695121951219512,2,1992,24,0.727272727272727
17,"1992-93","CLE",54,0.658536585365854,6,1993,-3,-0.0526315789473683
18,"1993-94","CLE",47,0.573170731707317,11,1994,-7,-0.12962962962963
19,"1994-95","CLE",43,0.524390243902439,13,1995,-4,-0.0851063829787233
