"id","exists"
9432,FALSE
8173,FALSE
4913,FALSE
4974,FALSE
4477,FALSE
6782,FALSE
7746,FALSE
6216,FALSE
8087,FALSE
4586,FALSE
5454,FALSE
6704,FALSE
5045,FALSE
7634,FALSE
5537,FALSE
9066,FALSE
9701,FALSE
9118,FALSE
6877,FALSE
9076,FALSE
4550,FALSE
8372,FALSE
4428,FALSE
7382,FALSE
6333,FALSE
7846,FALSE
9755,FALSE
8567,FALSE
9676,FALSE
5836,FALSE
7468,FALSE
6949,FALSE
5472,FALSE
7201,FALSE
4704,FALSE
6811,FALSE
9417,FALSE
5676,FALSE
8233,FALSE
6344,FALSE
5983,FALSE
4538,FALSE
9030,FALSE
9198,FALSE
5626,FALSE
8331,FALSE
5982,FALSE
9362,FALSE
5327,FALSE
8162,FALSE
6960,FALSE
7533,FALSE
5858,FALSE
7431,FALSE
6283,FALSE
7437,FALSE
7886,FALSE
7339,FALSE
8033,FALSE
6996,FALSE
6173,FALSE
5979,FALSE
6402,FALSE
8957,FALSE
8755,FALSE
6329,FALSE
8285,FALSE
7810,FALSE
5945,FALSE
8673,FALSE
9738,FALSE
8666,FALSE
8628,FALSE
4887,FALSE
4925,FALSE
5123,FALSE
6332,FALSE
8053,FALSE
9245,FALSE
9471,FALSE
5293,FALSE
7210,FALSE
5879,FALSE
6025,FALSE
4710,FALSE
9824,FALSE
7696,FALSE
8843,FALSE
8938,FALSE
6368,FALSE
6776,FALSE
9126,FALSE
6852,FALSE
6246,FALSE
6635,FALSE
5405,FALSE
5187,FALSE
5507,FALSE
9423,FALSE
6504,FALSE
