"id","exists"
2444,TRUE
1118,TRUE
2346,TRUE
2286,TRUE
486,TRUE
1913,TRUE
1759,TRUE
1593,TRUE
3670,TRUE
3121,TRUE
3227,TRUE
1963,TRUE
3416,TRUE
2325,TRUE
3961,TRUE
2003,TRUE
2252,TRUE
3937,TRUE
1127,TRUE
477,TRUE
1726,TRUE
2247,TRUE
774,TRUE
460,TRUE
2128,TRUE
3865,TRUE
929,TRUE
3474,TRUE
3332,TRUE
3011,TRUE
3822,TRUE
1630,TRUE
2326,TRUE
598,TRUE
3765,TRUE
3867,TRUE
589,TRUE
3786,TRUE
3991,TRUE
2695,TRUE
1114,TRUE
3139,TRUE
2230,FALSE
1849,TRUE
732,TRUE
1562,TRUE
2180,TRUE
4173,TRUE
742,TRUE
902,TRUE
2403,TRUE
1524,TRUE
2379,TRUE
3286,TRUE
2863,TRUE
1809,TRUE
4198,FALSE
53,TRUE
87,TRUE
3995,TRUE
2200,TRUE
101,TRUE
281,TRUE
3302,TRUE
3208,TRUE
3383,TRUE
699,TRUE
3534,TRUE
2605,TRUE
1909,TRUE
595,TRUE
4043,TRUE
2053,TRUE
1551,TRUE
2260,TRUE
1752,TRUE
1204,TRUE
387,TRUE
892,TRUE
543,TRUE
3232,TRUE
1065,TRUE
1199,TRUE
239,TRUE
535,TRUE
1000,TRUE
3151,TRUE
1086,TRUE
2515,TRUE
2959,TRUE
2110,TRUE
1483,TRUE
1488,TRUE
2017,TRUE
3592,TRUE
1781,TRUE
256,TRUE
1018,TRUE
3286,TRUE
3466,TRUE
