"id","exists"
1140,TRUE
658,TRUE
3768,TRUE
924,TRUE
3297,TRUE
4009,TRUE
424,TRUE
2977,TRUE
1003,TRUE
560,TRUE
3793,TRUE
4190,TRUE
595,TRUE
3612,TRUE
4177,TRUE
2193,TRUE
3706,TRUE
946,TRUE
2586,TRUE
702,TRUE
1184,TRUE
2709,TRUE
216,TRUE
149,TRUE
3881,TRUE
2460,TRUE
3628,TRUE
3958,TRUE
3417,TRUE
2260,TRUE
4031,TRUE
75,TRUE
3384,TRUE
2437,TRUE
1022,TRUE
2766,TRUE
2311,TRUE
4067,TRUE
2340,TRUE
1710,TRUE
867,TRUE
1023,TRUE
3613,TRUE
3107,TRUE
3993,TRUE
1338,TRUE
1234,TRUE
4099,TRUE
2430,TRUE
3408,TRUE
3695,TRUE
405,TRUE
2822,TRUE
663,TRUE
2204,TRUE
3149,TRUE
1792,TRUE
1592,TRUE
257,TRUE
2532,TRUE
3075,TRUE
3258,TRUE
3948,TRUE
263,TRUE
3670,TRUE
1470,TRUE
56,TRUE
1128,TRUE
3251,TRUE
3447,TRUE
2230,FALSE
1247,TRUE
1522,TRUE
2325,TRUE
1387,TRUE
3904,TRUE
3977,TRUE
837,TRUE
2703,TRUE
2599,TRUE
2951,TRUE
483,TRUE
2250,TRUE
581,TRUE
92,TRUE
2805,TRUE
3735,FALSE
929,TRUE
774,TRUE
543,TRUE
4038,TRUE
3427,TRUE
1231,TRUE
3175,TRUE
715,TRUE
3796,TRUE
3386,TRUE
2283,TRUE
1745,TRUE
1571,TRUE
